Geneid	/ufrc/jkim6/share/braskey/labmtg_20200709/data/alignments/SRR9313223.sam
AT1G01010	334
AT1G01020	177
AT1G01030	45
AT1G01040	1260
AT1G01046	1
AT1G01050	983
AT1G01060	7951
AT1G01070	93
AT1G01073	0
AT1G01080	971
AT1G01090	3589
AT1G01100	2493
AT1G01110	92
AT1G01115	0
AT1G01120	7007
AT1G01130	41
AT1G01140	1581
AT1G01150	0
AT1G01160	485
AT1G01170	591
AT1G01180	447
AT1G01183	3
AT1G01190	9
AT1G01200	68
AT1G01210	98
AT1G01220	324
AT1G01225	20
AT1G01230	381
AT1G01240	333
AT1G01250	3
AT1G01260	250
AT1G01270	0
AT1G01280	0
AT1G01290	158
AT1G01300	1879
AT1G01305	0
AT1G01310	1
AT1G01320	17945
AT1G01340	211
AT1G01350	317
AT1G01355	0
AT1G01360	365
AT1G01370	57
AT1G01380	27
AT1G01390	322
AT1G01400	0
AT1G01410	0
AT1G01420	102
AT1G01430	1359
AT1G01440	440
AT1G01448	315
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	1988
AT1G01471	0
AT1G01480	68
AT1G01490	1559
AT1G01500	132
AT1G01510	600
AT1G01520	358
AT1G01530	0
AT1G01540	1955
AT1G01550	1653
AT1G01560	24
AT1G01570	25
AT1G01580	66
AT1G01590	0
AT1G01600	534
AT1G01610	1692
AT1G01620	22675
AT1G01630	788
AT1G01640	155
AT1G01650	780
AT1G01660	3
AT1G01670	3
AT1G01680	35
AT1G01690	51
AT1G01695	1
AT1G01700	3
AT1G01710	542
AT1G01720	2194
AT1G01725	58
AT1G01730	309
AT1G01740	43
AT1G01750	15
AT1G01760	39
AT1G01770	412
AT1G01780	1191
AT1G01790	1784
AT1G01800	705
AT1G01810	5
AT1G01820	783
AT1G01830	357
AT1G01840	11
AT1G01860	160
AT1G01870	0
AT1G01880	12
AT1G01890	0
AT1G01900	214
AT1G01910	679
AT1G01920	177
AT1G01930	284
AT1G01940	222
AT1G01950	530
AT1G01960	1679
AT1G01970	655
AT1G01980	0
AT1G01990	286
AT1G02000	326
AT1G02010	441
AT1G02020	364
AT1G02030	18
AT1G02040	10
AT1G02050	146
AT1G02060	114
AT1G02065	3
AT1G02070	3
AT1G02074	1
AT1G02080	2523
AT1G02090	694
AT1G02100	1081
AT1G02110	605
AT1G02120	1398
AT1G02130	956
AT1G02140	1560
AT1G02145	284
AT1G02150	1461
AT1G02160	241
AT1G02170	532
AT1G02180	108
AT1G02190	18
AT1G02205	4403
AT1G02210	0
AT1G02220	412
AT1G02230	18
AT1G02250	0
AT1G02260	267
AT1G02270	212
AT1G02280	1857
AT1G02290	140
AT1G02300	157
AT1G02305	1772
AT1G02310	6
AT1G02320	0
AT1G02330	379
AT1G02335	368
AT1G02340	917
AT1G02350	11
AT1G02360	525
AT1G02370	37
AT1G02380	20
AT1G02390	41
AT1G02391	0
AT1G02400	269
AT1G02405	7
AT1G02410	392
AT1G02420	63
AT1G02430	10
AT1G02440	0
AT1G02450	4
AT1G02460	64
AT1G02470	27
AT1G02475	451
AT1G02480	0
AT1G02490	0
AT1G02500	7431
AT1G02510	0
AT1G02520	358
AT1G02530	2
AT1G02540	0
AT1G02550	0
AT1G02560	1807
AT1G02570	0
AT1G02575	0
AT1G02580	14
AT1G02590	0
AT1G02600	0
AT1G02610	45
AT1G02620	0
AT1G02630	1
AT1G02640	938
AT1G02650	4
AT1G02660	238
AT1G02670	29
AT1G02680	188
AT1G02690	269
AT1G02700	56
AT1G02710	0
AT1G02720	168
AT1G02730	424
AT1G02740	113
AT1G02750	200
AT1G02760	0
AT1G02770	38
AT1G02780	6618
AT1G02790	0
AT1G02800	146
AT1G02810	185
AT1G02813	0
AT1G02816	464
AT1G02820	13
AT1G02830	0
AT1G02840	3359
AT1G02850	1599
AT1G02860	438
AT1G02870	146
AT1G02880	739
AT1G02890	2315
AT1G02900	424
AT1G02910	669
AT1G02920	527
AT1G02930	190
AT1G02940	0
AT1G02950	220
AT1G02952	1
AT1G02960	225
AT1G02965	0
AT1G02970	38
AT1G02980	0
AT1G02990	399
AT1G03000	484
