Geneid	/ufrc/jkim6/share/braskey/labmtg_20200709/data/alignments/SRR9313210.sam
AT1G01010	420
AT1G01020	271
AT1G01030	68
AT1G01040	1382
AT1G01046	3
AT1G01050	1002
AT1G01060	1601
AT1G01070	109
AT1G01073	0
AT1G01080	907
AT1G01090	4103
AT1G01100	2200
AT1G01110	197
AT1G01115	0
AT1G01120	5655
AT1G01130	33
AT1G01140	1646
AT1G01150	1
AT1G01160	514
AT1G01170	844
AT1G01180	357
AT1G01183	0
AT1G01190	7
AT1G01200	99
AT1G01210	79
AT1G01220	458
AT1G01225	38
AT1G01230	698
AT1G01240	630
AT1G01250	0
AT1G01260	525
AT1G01270	0
AT1G01280	0
AT1G01290	193
AT1G01300	1903
AT1G01305	0
AT1G01310	0
AT1G01320	9729
AT1G01340	257
AT1G01350	298
AT1G01355	5
AT1G01360	270
AT1G01370	57
AT1G01380	43
AT1G01390	393
AT1G01400	0
AT1G01410	0
AT1G01420	35
AT1G01430	1459
AT1G01440	533
AT1G01448	656
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	2387
AT1G01471	0
AT1G01480	87
AT1G01490	1205
AT1G01500	149
AT1G01510	1039
AT1G01520	4
AT1G01530	0
AT1G01540	1550
AT1G01550	2343
AT1G01560	11
AT1G01570	36
AT1G01580	61
AT1G01590	1
AT1G01600	540
AT1G01610	1045
AT1G01620	30933
AT1G01630	855
AT1G01640	238
AT1G01650	1199
AT1G01660	3
AT1G01670	7
AT1G01680	23
AT1G01690	56
AT1G01695	1
AT1G01700	2
AT1G01710	743
AT1G01720	2711
AT1G01725	154
AT1G01730	395
AT1G01740	70
AT1G01750	42
AT1G01760	88
AT1G01770	710
AT1G01780	1667
AT1G01790	1167
AT1G01800	795
AT1G01810	9
AT1G01820	1032
AT1G01830	315
AT1G01840	2
AT1G01860	180
AT1G01870	0
AT1G01880	24
AT1G01890	0
AT1G01900	294
AT1G01910	701
AT1G01920	279
AT1G01930	395
AT1G01940	175
AT1G01950	750
AT1G01960	2923
AT1G01970	426
AT1G01980	2
AT1G01990	282
AT1G02000	236
AT1G02010	905
AT1G02020	325
AT1G02030	14
AT1G02040	16
AT1G02050	220
AT1G02060	241
AT1G02065	1
AT1G02070	3
AT1G02074	0
AT1G02080	4672
AT1G02090	476
AT1G02100	1453
AT1G02110	733
AT1G02120	1466
AT1G02130	1057
AT1G02140	1881
AT1G02145	545
AT1G02150	2002
AT1G02160	284
AT1G02170	611
AT1G02180	112
AT1G02190	8
AT1G02205	4007
AT1G02210	0
AT1G02220	218
AT1G02230	37
AT1G02250	0
AT1G02260	393
AT1G02270	274
AT1G02280	2497
AT1G02290	189
AT1G02300	294
AT1G02305	2527
AT1G02310	5
AT1G02320	0
AT1G02330	345
AT1G02335	285
AT1G02340	1034
AT1G02350	10
AT1G02360	408
AT1G02370	45
AT1G02380	20
AT1G02390	26
AT1G02391	0
AT1G02400	1044
AT1G02405	5
AT1G02410	297
AT1G02420	53
AT1G02430	10
AT1G02440	1
AT1G02450	3
AT1G02460	75
AT1G02470	12
AT1G02475	241
AT1G02480	0
AT1G02490	0
AT1G02500	8708
AT1G02510	0
AT1G02520	541
AT1G02530	7
AT1G02540	0
AT1G02550	0
AT1G02560	1898
AT1G02570	0
AT1G02575	0
AT1G02580	27
AT1G02590	0
AT1G02600	0
AT1G02610	180
AT1G02620	2
AT1G02630	7
AT1G02640	4662
AT1G02650	29
AT1G02660	919
AT1G02670	54
AT1G02680	211
AT1G02690	289
AT1G02700	26
AT1G02710	0
AT1G02720	312
AT1G02730	381
AT1G02740	136
AT1G02750	247
AT1G02760	0
AT1G02770	23
AT1G02780	7422
AT1G02790	0
AT1G02800	790
AT1G02810	210
AT1G02813	0
AT1G02816	468
AT1G02820	0
AT1G02830	1
AT1G02840	5446
AT1G02850	2117
AT1G02860	612
AT1G02870	156
AT1G02880	377
AT1G02890	3093
AT1G02900	481
AT1G02910	557
AT1G02920	658
AT1G02930	199
AT1G02940	0
AT1G02950	180
AT1G02952	0
AT1G02960	418
AT1G02965	0
AT1G02970	38
AT1G02980	2
AT1G02990	516
AT1G03000	685
AT1G03010	50
AT1G03020	0
AT1G03022	0
AT1G03030	346
AT1G03040	756
AT1G03050	0
AT1G03055	3
AT1G03060	2647
AT1G03070	39
AT1G03080	3969
AT1G03090	6283
AT1G03100	35
AT1G03103	0
AT1G03106	119
AT1G03110	155
AT1G03120	2
AT1G03130	1102
AT1G03140	1197
AT1G03150	201
AT1G03160	1343
AT1G03170	45
AT1G03180	67
AT1G03190	256
AT1G03200	3
AT1G03210	324
AT1G03220	5949
AT1G03230	817
AT1G03240	0
AT1G03250	252
AT1G03260	193
AT1G03270	43
AT1G03280	1053
AT1G03290	573
AT1G03300	68
AT1G03310	199
AT1G03320	10
AT1G03330	418
AT1G03340	28
AT1G03350	965
AT1G03360	77
AT1G03365	459
AT1G03370	848
AT1G03380	1854
AT1G03390	0
AT1G03400	58
AT1G03410	226
AT1G03430	412
AT1G03440	174
AT1G03445	77
AT1G03457	388
AT1G03470	361
AT1G03475	2084
AT1G03490	0
AT1G03495	0
AT1G03502	0
AT1G03506	13
AT1G03510	40
AT1G03515	0
AT1G03520	404
AT1G03530	201
AT1G03540	20
AT1G03545	28
AT1G03550	488
AT1G03560	226
AT1G03570	0
AT1G03590	915
AT1G03600	1047
AT1G03610	749
AT1G03620	49
AT1G03630	557
AT1G03640	0
AT1G03650	21
AT1G03660	17
AT1G03670	0
AT1G03680	932
AT1G03687	241
AT1G03700	4
AT1G03710	0
AT1G03720	0
AT1G03730	144
AT1G03740	677
AT1G03743	0
AT1G03746	0
AT1G03750	138
AT1G03760	92
AT1G03770	145
AT1G03780	121
AT1G03790	900
AT1G03800	18
AT1G03810	0
AT1G03820	46
AT1G03830	175
AT1G03840	11
AT1G03850	503
AT1G03860	549
AT1G03870	16206
AT1G03880	7
AT1G03890	0
AT1G03900	2382
AT1G03905	139
AT1G03910	1509
AT1G03920	168
AT1G03930	657
AT1G03935	36
AT1G03940	0
AT1G03950	147
AT1G03960	207
AT1G03970	220
AT1G03980	11
AT1G03982	0
AT1G03990	0
AT1G04000	356
AT1G04010	288
AT1G04020	142
AT1G04030	177
AT1G04040	3568
AT1G04050	63
AT1G04070	72
AT1G04080	2533
AT1G04090	23
AT1G04100	74
AT1G04110	19
AT1G04120	2477
AT1G04130	142
AT1G04140	3071
AT1G04150	5
AT1G04160	255
AT1G04170	1769
AT1G04171	0
AT1G04180	11
AT1G04190	395
AT1G04200	626
AT1G04210	1162
AT1G04220	993
AT1G04230	166
AT1G04240	1469
AT1G04250	4443
AT1G04260	314
AT1G04270	3622
AT1G04280	1273
AT1G04290	112
AT1G04295	21
AT1G04300	3442
AT1G04310	543
AT1G04320	0
AT1G04330	2
AT1G04340	210
AT1G04350	52
AT1G04360	46
AT1G04370	0
AT1G04380	0
AT1G04390	211
AT1G04400	3956
AT1G04410	10021
AT1G04420	922
AT1G04425	12
AT1G04430	3466
AT1G04440	1914
AT1G04445	7
AT1G04450	0
AT1G04470	3
AT1G04480	1456
AT1G04490	9
AT1G04500	3
AT1G04501	0
AT1G04510	934
AT1G04520	236
AT1G04530	579
AT1G04540	0
AT1G04550	305
AT1G04555	79
AT1G04560	25
AT1G04570	43
AT1G04580	1
AT1G04590	230
AT1G04600	8
AT1G04610	162
AT1G04620	855
AT1G04625	0
AT1G04630	331
AT1G04635	25
AT1G04640	163
AT1G04645	0
AT1G04650	20
AT1G04660	8
AT1G04670	0
AT1G04680	3890
AT1G04684	0
AT1G04690	1436
AT1G04700	38
AT1G04710	212
AT1G04720	0
AT1G04730	93
AT1G04750	1372
AT1G04760	30
AT1G04770	228
AT1G04778	6
AT1G04780	1139
AT1G04790	465
AT1G04800	298
AT1G04810	2052
AT1G04820	14103
AT1G04830	705
AT1G04840	20
AT1G04850	1676
AT1G04860	762
AT1G04870	314
AT1G04880	2
AT1G04890	0
AT1G04900	123
AT1G04910	789
AT1G04920	45
AT1G04930	47
AT1G04940	220
AT1G04945	55
AT1G04950	588
AT1G04960	481
AT1G04970	988
AT1G04980	193
AT1G04985	419
AT1G04990	425
AT1G05000	183
AT1G05010	1740
AT1G05020	9
AT1G05030	236
AT1G05040	0
AT1G05055	167
AT1G05060	227
AT1G05065	1
AT1G05070	210
AT1G05080	0
AT1G05085	0
AT1G05090	9
AT1G05100	30
AT1G05120	820
AT1G05136	0
AT1G05140	627
AT1G05150	1646
AT1G05160	239
AT1G05170	550
AT1G05180	586
AT1G05190	2535
AT1G05200	197
AT1G05205	237
AT1G05210	62
AT1G05220	33
AT1G05230	558
AT1G05240	0
AT1G05250	0
AT1G05260	2784
AT1G05270	969
AT1G05280	23
AT1G05290	0
AT1G05291	0
AT1G05300	58
AT1G05310	66
AT1G05320	760
AT1G05330	6
AT1G05340	576
AT1G05350	625
AT1G05360	562
AT1G05370	20
AT1G05380	1606
AT1G05385	237
AT1G05390	0
AT1G05400	29
AT1G05410	243
AT1G05420	35
AT1G05430	301
AT1G05440	6
AT1G05450	1
AT1G05460	183
AT1G05470	225
AT1G05490	180
AT1G05500	769
AT1G05510	3
AT1G05520	1223
AT1G05530	10
AT1G05540	5
AT1G05550	1
AT1G05560	1802
AT1G05562	75
AT1G05570	3574
AT1G05575	30
AT1G05577	2
AT1G05580	0
AT1G05590	453
AT1G05600	171
AT1G05610	10
AT1G05615	0
AT1G05620	624
