Geneid	/ufrc/jkim6/share/braskey/labmtg_20200709/data/alignments/SRR9313225.sam
AT1G04120	1961
AT1G04130	86
AT1G04140	2252
AT1G04150	10
AT1G04160	132
AT1G04170	1228
AT1G04171	0
AT1G04180	8
AT1G04190	327
AT1G04200	387
AT1G04210	1037
AT1G04220	1852
AT1G04230	114
AT1G04240	831
AT1G04250	3214
AT1G04260	220
AT1G04270	2795
AT1G04280	812
AT1G04290	154
AT1G04295	15
AT1G04300	2513
AT1G04310	324
AT1G04320	0
AT1G04330	0
AT1G04340	216
AT1G04350	117
AT1G04360	37
AT1G04370	0
AT1G04380	1
AT1G04390	211
AT1G04400	3001
AT1G04410	8733
AT1G04420	814
AT1G04425	15
AT1G04430	2084
AT1G04440	1393
AT1G04445	2
AT1G04450	0
AT1G04470	1
AT1G04480	1219
AT1G04490	2
AT1G04500	9
AT1G04501	0
AT1G04510	728
AT1G04520	209
AT1G04530	1137
AT1G04540	1
AT1G04550	557
AT1G04555	55
AT1G04560	7
AT1G04570	24
AT1G04580	0
AT1G04590	220
AT1G04600	7
AT1G04610	68
AT1G04620	372
AT1G04625	0
AT1G04630	326
AT1G04635	21
AT1G04640	192
AT1G04645	0
AT1G04650	30
AT1G04660	6
AT1G04670	0
AT1G04680	1840
AT1G04684	0
AT1G04690	937
AT1G04700	16
AT1G04710	261
AT1G04720	0
AT1G04730	70
AT1G04750	1015
AT1G04760	6
AT1G04770	445
AT1G04778	8
AT1G04780	884
AT1G04790	322
AT1G04800	517
AT1G04810	1267
AT1G04820	11119
AT1G04830	402
AT1G04840	11
AT1G04850	1366
AT1G04860	643
AT1G04870	241
AT1G04880	7
AT1G04890	0
AT1G04900	83
AT1G04910	488
AT1G04920	41
AT1G04930	72
AT1G04940	208
AT1G04945	41
AT1G04950	386
AT1G04960	394
AT1G04970	673
AT1G04980	126
AT1G04985	347
AT1G04990	725
AT1G05000	120
AT1G05010	954
AT1G05020	11
AT1G05030	189
AT1G05040	0
AT1G05055	135
AT1G05060	159
AT1G05065	4
AT1G05070	392
AT1G05080	1
AT1G05085	0
AT1G05090	2
AT1G05100	208
AT1G05120	573
AT1G05136	0
AT1G05140	969
AT1G05150	915
AT1G05160	172
AT1G05170	434
AT1G05180	449
AT1G05190	2821
AT1G05200	255
AT1G05205	210
AT1G05210	37
AT1G05220	22
AT1G05230	581
AT1G05240	0
AT1G05250	0
AT1G05260	3476
AT1G05270	742
AT1G05280	39
AT1G05290	0
AT1G05291	0
AT1G05300	20
AT1G05310	86
AT1G05320	501
AT1G05330	4
AT1G05340	685
AT1G05350	421
AT1G05360	332
AT1G05370	14
AT1G05380	1073
AT1G05385	184
AT1G05390	0
AT1G05400	25
AT1G05410	161
AT1G05420	65
AT1G05430	311
AT1G05440	10
AT1G05450	1
AT1G05460	106
AT1G05470	189
AT1G05490	63
AT1G05500	637
AT1G05510	3
AT1G05520	897
AT1G05530	20
AT1G05540	10
AT1G05550	2
AT1G05560	1630
AT1G05562	233
AT1G05570	2211
AT1G05575	24
AT1G05577	5
AT1G05580	0
AT1G05590	379
AT1G05600	131
AT1G05610	8
AT1G05615	0
AT1G05620	463
AT1G05630	171
AT1G05640	83
AT1G05650	19
AT1G05660	25
AT1G05670	115
AT1G05675	9
AT1G05680	842
AT1G05690	19
AT1G05700	153
AT1G05710	91
AT1G05720	212
AT1G05730	1
AT1G05740	0
AT1G05750	76
AT1G05760	81
AT1G05770	18
AT1G05780	117
AT1G05785	140
AT1G05790	628
AT1G05800	0
AT1G05805	396
AT1G05810	283
AT1G05820	64
AT1G05830	1177
AT1G05835	323
AT1G05840	499
AT1G05850	9944
AT1G05860	144
AT1G05870	2814
AT1G05880	6
AT1G05890	2172
AT1G05894	16
AT1G05900	305
AT1G05910	539
AT1G05920	0
AT1G05925	0
AT1G05930	0
AT1G05940	711
AT1G05950	79
AT1G05960	2298
AT1G05970	59
AT1G05980	0
AT1G05990	0
AT1G06000	3856
AT1G06002	202
AT1G06010	91
AT1G06020	10
AT1G06030	0
AT1G06040	7701
AT1G06050	150
AT1G06060	554
AT1G06070	352
AT1G06080	132
AT1G06090	84
AT1G06100	0
AT1G06110	834
AT1G06120	23
AT1G06130	430
AT1G06135	1
AT1G06137	0
AT1G06140	17
AT1G06148	0
AT1G06149	0
AT1G06150	34
AT1G06160	0
AT1G06170	3
AT1G06180	652
AT1G06190	886
AT1G06200	484
AT1G06210	364
AT1G06220	858
AT1G06225	2
AT1G06230	1274
AT1G06240	210
AT1G06250	3
AT1G06260	0
AT1G06265	133
AT1G06270	56
AT1G06280	0
AT1G06290	1064
AT1G06310	6
AT1G06320	8
AT1G06330	14
AT1G06340	0
AT1G06350	110
AT1G06360	1575
AT1G06380	93
AT1G06390	1221
AT1G06400	951
AT1G06410	3074
AT1G06420	24
AT1G06430	4385
AT1G06440	15
AT1G06450	122
AT1G06460	204
AT1G06470	293
AT1G06475	8
AT1G06480	0
AT1G06490	116
AT1G06500	102
AT1G06510	126
AT1G06515	210
AT1G06520	19
AT1G06530	776
AT1G06540	15
AT1G06550	716
AT1G06560	136
AT1G06570	2805
AT1G06580	33
AT1G06590	189
AT1G06610	0
AT1G06620	254
AT1G06630	223
AT1G06640	1358
AT1G06645	56
AT1G06650	482
AT1G06660	15
AT1G06670	1077
AT1G06680	8225
AT1G06690	1492
AT1G06700	2104
AT1G06710	66
AT1G06720	278
AT1G06730	263
AT1G06750	23
AT1G06760	1448
AT1G06770	100
AT1G06780	332
AT1G06790	85
AT1G06800	307
AT1G06810	1
AT1G06820	466
AT1G06830	12
AT1G06840	530
AT1G06850	443
AT1G06860	0
AT1G06870	586
AT1G06880	0
AT1G06890	1365
AT1G06900	921
AT1G06910	49
AT1G06920	0
AT1G06923	0
AT1G06925	11
AT1G06930	42
AT1G06950	2913
AT1G06960	156
AT1G06970	6
AT1G06980	547
AT1G06990	0
AT1G07000	375
AT1G07010	1414
AT1G07020	137
AT1G07025	0
AT1G07030	558
AT1G07040	569
AT1G07050	182
AT1G07051	0
AT1G07060	0
AT1G07070	81
AT1G07080	1699
AT1G07090	244
AT1G07100	0
AT1G07110	1978
AT1G07119	23
AT1G07120	6
AT1G07128	128
AT1G07130	84
AT1G07135	132
AT1G07140	2869
AT1G07150	3027
AT1G07160	23
AT1G07170	196
AT1G07175	5
AT1G07180	138
AT1G07190	0
AT1G07200	904
AT1G07210	243
AT1G07220	147
AT1G07230	446
AT1G07240	537
AT1G07250	959
AT1G07260	169
AT1G07270	10
AT1G07280	96
AT1G07290	25
AT1G07300	70
AT1G07310	1077
AT1G07320	3646
AT1G07330	5
AT1G07340	0
AT1G07350	1240
AT1G07360	1077
AT1G07370	115
AT1G07380	256
AT1G07390	45
AT1G07400	266
AT1G07410	26
AT1G07420	684
AT1G07430	95
AT1G07440	133
AT1G07450	1
AT1G07460	0
AT1G07470	462
AT1G07473	4
AT1G07476	0
AT1G07480	621
AT1G07485	3
AT1G07490	9
AT1G07500	2
AT1G07510	1512
AT1G07520	269
AT1G07530	833
AT1G07540	1
AT1G07550	41
AT1G07560	55
AT1G07570	677
AT1G07580	0
AT1G07590	6149
AT1G07600	0
AT1G07610	1338
AT1G07615	93
AT1G07620	27
AT1G07630	464
AT1G07640	600
AT1G07645	1
AT1G07650	1245
AT1G07660	167
AT1G07670	885
AT1G07680	0
AT1G07690	38
AT1G07700	446
AT1G07702	0
AT1G07705	377
AT1G07710	4
AT1G07720	1348
AT1G07725	0
AT1G07728	418
AT1G07730	0
AT1G07740	76
AT1G07745	113
AT1G07747	0
AT1G07750	751
AT1G07760	0
AT1G07770	2423
AT1G07780	77
AT1G07790	354
AT1G07795	1
AT1G07810	885
AT1G07820	482
AT1G07830	205
AT1G07840	216
AT1G07850	2
AT1G07860	0
AT1G07870	252
AT1G07880	16
AT1G07885	0
AT1G07890	11368
AT1G07900	3
AT1G07901	0
AT1G07910	300
AT1G07920	4633
AT1G07930	2652
AT1G07940	2401
AT1G07950	182
AT1G07960	399
AT1G07970	165
AT1G07980	289
AT1G07985	1732
AT1G07990	1273
AT1G08000	213
AT1G08005	0
AT1G08010	636
AT1G08030	482
AT1G08032	0
AT1G08035	0
AT1G08040	273
AT1G08050	277
AT1G08060	503
AT1G08065	0
AT1G08070	14
AT1G08080	0
AT1G08090	5
AT1G08100	0
AT1G08110	995
AT1G08115	9
AT1G08120	4
AT1G08125	235
AT1G08130	354
AT1G08135	1
AT1G08140	0
AT1G08150	0
AT1G08160	522
AT1G08165	3
AT1G08170	0
AT1G08180	119
AT1G08190	2692
AT1G08200	4636
AT1G08210	344
AT1G08220	59
AT1G08230	569
AT1G08240	0
AT1G08250	339
AT1G08260	370
AT1G08270	27
AT1G08280	178
AT1G08290	1
AT1G08300	52
AT1G08310	48
AT1G08315	158
AT1G08320	375
AT1G08340	110
AT1G08350	148
AT1G08360	1372
AT1G08370	889
AT1G08380	5643
AT1G08390	55
AT1G08400	106
AT1G08410	179
AT1G08420	1689
AT1G08430	14
AT1G08440	0
AT1G08450	604
AT1G08460	436
AT1G08465	91
AT1G08470	248
AT1G08480	793
AT1G08490	623
AT1G08500	394
AT1G08510	3341
AT1G08520	2923
AT1G08530	81
AT1G08540	1266
AT1G08550	666
AT1G08560	187
AT1G08570	3596
AT1G08580	278
AT1G08590	289
AT1G08592	43
AT1G08600	621
AT1G08610	59
AT1G08620	883
AT1G08630	152
AT1G08640	597
AT1G08650	671
AT1G08660	620
AT1G08670	75
AT1G08680	1133
AT1G08695	0
AT1G08700	586
AT1G08710	145
AT1G08720	429
AT1G08730	18
AT1G08750	166
AT1G08760	729
AT1G08770	264
AT1G08780	193
AT1G08790	0
AT1G08800	817
AT1G08810	156
AT1G08820	715
AT1G08830	3508
AT1G08840	77
AT1G08845	39
AT1G08860	6
AT1G08870	0
AT1G08880	414
AT1G08890	511
AT1G08900	278
AT1G08910	804
AT1G08920	578
AT1G08930	1473
AT1G08940	173
AT1G08950	0
AT1G08960	241
AT1G08970	648
AT1G08980	729
AT1G08985	0
AT1G08990	115
AT1G09000	87
AT1G09010	1190
AT1G09020	1370
AT1G09026	0
AT1G09030	0
AT1G09040	47
AT1G09050	34
AT1G09060	753
AT1G09070	2536
AT1G09080	4
AT1G09090	140
AT1G09100	291
AT1G09110	0
AT1G09130	1074
AT1G09140	2189
AT1G09150	347
AT1G09155	14
AT1G09157	1
AT1G09160	497
AT1G09170	15
AT1G09176	1
AT1G09180	8
AT1G09190	43
AT1G09195	171
AT1G09200	453
AT1G09210	1696
AT1G09220	19
AT1G09230	377
AT1G09240	163
AT1G09245	0
AT1G09250	1653
AT1G09260	0
AT1G09270	1358
AT1G09280	638
AT1G09290	115
AT1G09300	52
AT1G09310	16395
AT1G09320	89
AT1G09330	395
AT1G09340	3198
AT1G09350	173
AT1G09360	0
AT1G09370	0
AT1G09380	31
AT1G09390	482
AT1G09400	3
AT1G09410	17
AT1G09415	215
AT1G09420	305
AT1G09421	8
AT1G09430	1344
AT1G09440	47
AT1G09450	15
AT1G09460	562
AT1G09470	16
AT1G09480	46
AT1G09483	0
AT1G09490	181
AT1G09500	2
AT1G09510	0
AT1G09520	224
AT1G09530	988
AT1G09540	238
AT1G09550	0
AT1G09560	2494
AT1G09570	8239
AT1G09575	54
AT1G09580	92
AT1G09590	1233
AT1G09600	17
AT1G09610	12
AT1G09620	2167
AT1G09625	0
AT1G09630	236
AT1G09640	3589
AT1G09645	191
AT1G09650	7
AT1G09660	534
AT1G09665	0
AT1G09680	8
AT1G09690	1847
AT1G09700	86
AT1G09710	153
AT1G09720	0
AT1G09730	666
AT1G09740	1139
AT1G09750	2369
AT1G09760	416
AT1G09770	2541
AT1G09780	2003
AT1G09790	0
AT1G09794	32
AT1G09795	402
AT1G09800	59
AT1G09810	163
AT1G09812	27
AT1G09815	198
AT1G09820	70
AT1G09830	299
AT1G09840	796
AT1G09850	401
AT1G09860	3
AT1G09870	482
AT1G09880	20
AT1G09890	35
AT1G09900	251
AT1G09910	374
AT1G09920	599
AT1G09930	2
AT1G09932	27
AT1G09935	0
AT1G09940	473
AT1G09950	100
AT1G09960	253
AT1G09970	2296
AT1G09980	782
AT1G09995	42
AT1G10000	7
AT1G10010	0
AT1G10020	377
AT1G10030	156
AT1G10040	76
AT1G10050	251
AT1G10060	58
AT1G10070	787
AT1G10090	757
AT1G10095	53
AT1G10100	0
AT1G10110	9
AT1G10120	747
AT1G10130	903
AT1G10140	238
AT1G10150	321
AT1G10155	4
AT1G10170	3006
AT1G10180	361
AT1G10190	0
AT1G10200	1109
AT1G10210	151
AT1G10220	4
AT1G10230	72
AT1G10240	152
AT1G10250	0
AT1G10270	151
AT1G10280	119
AT1G10290	1562
AT1G10300	3
AT1G10310	190
AT1G10320	307
AT1G10330	22
AT1G10340	80
AT1G10350	206
AT1G10360	497
AT1G10370	1723
AT1G10380	318
AT1G10385	2
AT1G10390	2301
AT1G10400	46
AT1G10410	755
AT1G10417	29
AT1G10430	523
AT1G10440	0
AT1G10450	538
AT1G10455	0
AT1G10460	9
AT1G10470	943
AT1G10480	54
AT1G10490	128
AT1G10500	434
AT1G10510	609
AT1G10520	12
AT1G10522	240
AT1G10530	17
AT1G10540	4
AT1G10550	41
AT1G10560	115
AT1G10570	396
AT1G10580	510
AT1G10585	0
AT1G10586	0
AT1G10588	0
AT1G10590	1100
AT1G10600	176
AT1G10610	122
AT1G10620	0
AT1G10630	1066
AT1G10640	220
AT1G10650	606
AT1G10652	0
AT1G10657	62
AT1G10660	1113
AT1G10670	3483
AT1G10680	1
AT1G10682	1736
AT1G10690	71
AT1G10700	197
AT1G10710	0
AT1G10717	0
AT1G10720	483
AT1G10730	131
AT1G10740	1945
AT1G10745	0
AT1G10747	0
AT1G10750	34
AT1G10760	2026
AT1G10770	2
AT1G10780	69
AT1G10790	4
AT1G10800	10
AT1G10810	11
AT1G10820	408
AT1G10830	297
AT1G10840	1627
AT1G10850	716
AT1G10865	221
AT1G10870	521
