Geneid	/ufrc/jkim6/share/braskey/labmtg_20200709/data/alignments/SRR9313224.sam
AT1G01010	456
AT1G01020	263
AT1G01030	46
AT1G01040	1840
AT1G01046	4
AT1G01050	1298
AT1G01060	11604
AT1G01070	115
AT1G01073	1
AT1G01080	1281
AT1G01090	4616
AT1G01100	2776
AT1G01110	164
AT1G01115	0
AT1G01120	9432
AT1G01130	41
AT1G01140	2597
AT1G01150	0
AT1G01160	791
AT1G01170	750
AT1G01180	584
AT1G01183	1
AT1G01190	14
AT1G01200	111
AT1G01210	121
AT1G01220	473
AT1G01225	32
AT1G01230	578
AT1G01240	517
AT1G01250	4
AT1G01260	365
AT1G01270	0
AT1G01280	0
AT1G01290	265
AT1G01300	2497
AT1G01305	0
AT1G01310	0
AT1G01320	30837
AT1G01340	397
AT1G01350	470
AT1G01355	7
AT1G01360	526
AT1G01370	81
AT1G01380	23
AT1G01390	445
AT1G01400	0
AT1G01410	0
AT1G01420	143
AT1G01430	1830
AT1G01440	751
AT1G01448	508
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	3282
AT1G01471	0
AT1G01480	125
AT1G01490	2236
AT1G01500	143
AT1G01510	881
AT1G01520	652
AT1G01530	0
AT1G01540	2707
AT1G01550	2563
AT1G01560	32
AT1G01570	35
AT1G01580	80
AT1G01590	2
AT1G01600	680
AT1G01610	2228
AT1G01620	28818
AT1G01630	1100
AT1G01640	226
AT1G01650	1108
AT1G01660	9
AT1G01670	8
AT1G01680	22
AT1G01690	66
AT1G01695	2
AT1G01700	0
AT1G01710	736
AT1G01720	3417
AT1G01725	111
AT1G01730	382
AT1G01740	62
AT1G01750	37
AT1G01760	74
AT1G01770	579
AT1G01780	1794
AT1G01790	2324
AT1G01800	980
AT1G01810	8
AT1G01820	1171
AT1G01830	544
AT1G01840	13
AT1G01860	201
AT1G01870	0
AT1G01880	35
AT1G01890	0
AT1G01900	390
AT1G01910	840
AT1G01920	242
AT1G01930	426
AT1G01940	324
AT1G01950	729
AT1G01960	2949
AT1G01970	852
AT1G01980	3
AT1G01990	402
AT1G02000	450
AT1G02010	659
AT1G02020	480
AT1G02030	16
AT1G02040	5
AT1G02050	204
AT1G02060	187
AT1G02065	11
AT1G02070	5
AT1G02074	3
AT1G02080	4991
AT1G02090	986
AT1G02100	1356
AT1G02110	939
AT1G02120	2190
AT1G02130	1226
AT1G02140	1997
AT1G02145	464
AT1G02150	2083
AT1G02160	280
AT1G02170	847
AT1G02180	143
AT1G02190	19
AT1G02205	6959
AT1G02210	0
AT1G02220	541
AT1G02230	35
AT1G02250	1
AT1G02260	370
AT1G02270	325
AT1G02280	2519
AT1G02290	210
AT1G02300	222
AT1G02305	2454
AT1G02310	16
AT1G02320	0
AT1G02330	587
AT1G02335	541
AT1G02340	1639
AT1G02350	14
AT1G02360	781
AT1G02370	45
AT1G02380	24
AT1G02390	42
AT1G02391	0
AT1G02400	462
AT1G02405	7
AT1G02410	534
AT1G02420	102
AT1G02430	16
AT1G02440	1
AT1G02450	7
AT1G02460	84
AT1G02470	20
AT1G02475	535
AT1G02480	0
AT1G02490	0
AT1G02500	10398
AT1G02510	0
AT1G02520	614
AT1G02530	9
AT1G02540	0
AT1G02550	0
AT1G02560	2366
AT1G02570	0
