Geneid	/ufrc/jkim6/share/braskey/labmtg_20200709/data/alignments/SRR9313209.sam
AT1G01010	398
AT1G01020	267
AT1G01030	68
AT1G01040	1322
AT1G01046	2
AT1G01050	990
AT1G01060	1598
AT1G01070	98
AT1G01073	0
AT1G01080	823
AT1G01090	3741
AT1G01100	2420
AT1G01110	205
AT1G01115	0
AT1G01120	5818
AT1G01130	30
AT1G01140	1735
AT1G01150	1
AT1G01160	673
AT1G01170	566
AT1G01180	416
AT1G01183	0
AT1G01190	8
AT1G01200	183
AT1G01210	76
AT1G01220	396
AT1G01225	53
AT1G01230	572
AT1G01240	555
AT1G01250	3
AT1G01260	564
AT1G01270	0
AT1G01280	0
AT1G01290	199
AT1G01300	2403
AT1G01305	0
AT1G01310	1
AT1G01320	10281
AT1G01340	242
AT1G01350	296
AT1G01355	4
AT1G01360	215
AT1G01370	58
AT1G01380	72
AT1G01390	379
AT1G01400	0
AT1G01410	0
AT1G01420	53
AT1G01430	1433
AT1G01440	578
AT1G01448	554
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	2444
AT1G01471	0
AT1G01480	48
AT1G01490	1451
AT1G01500	137
AT1G01510	981
AT1G01520	7
AT1G01530	0
AT1G01540	1786
AT1G01550	2062
AT1G01560	9
AT1G01570	40
AT1G01580	46
AT1G01590	1
AT1G01600	628
AT1G01610	1338
AT1G01620	32184
AT1G01630	859
AT1G01640	208
AT1G01650	1040
AT1G01660	3
AT1G01670	4
AT1G01680	29
AT1G01690	72
AT1G01695	3
AT1G01700	6
AT1G01710	667
AT1G01720	2515
AT1G01725	129
AT1G01730	364
AT1G01740	52
AT1G01750	38
AT1G01760	69
AT1G01770	660
AT1G01780	1514
AT1G01790	1249
AT1G01800	804
AT1G01810	8
AT1G01820	1086
AT1G01830	430
AT1G01840	11
AT1G01860	167
AT1G01870	0
AT1G01880	35
AT1G01890	0
AT1G01900	318
AT1G01910	684
AT1G01920	272
AT1G01930	374
AT1G01940	182
AT1G01950	769
AT1G01960	2902
AT1G01970	494
AT1G01980	0
AT1G01990	305
AT1G02000	276
AT1G02010	679
AT1G02020	308
AT1G02030	9
AT1G02040	5
AT1G02050	234
AT1G02060	180
AT1G02065	9
AT1G02070	7
AT1G02074	2
AT1G02080	4057
AT1G02090	515
AT1G02100	1360
AT1G02110	895
AT1G02120	1599
AT1G02130	957
AT1G02140	1651
AT1G02145	438
AT1G02150	1977
AT1G02160	261
AT1G02170	811
AT1G02180	116
AT1G02190	8
AT1G02205	3725
AT1G02210	0
AT1G02220	317
AT1G02230	30
AT1G02250	0
AT1G02260	485
AT1G02270	260
AT1G02280	2212
AT1G02290	172
AT1G02300	329
AT1G02305	2050
AT1G02310	8
AT1G02320	0
AT1G02330	416
AT1G02335	334
AT1G02340	950
AT1G02350	21
AT1G02360	447
AT1G02370	54
AT1G02380	20
AT1G02390	19
AT1G02391	0
AT1G02400	976
AT1G02405	3
AT1G02410	335
AT1G02420	72
AT1G02430	20
AT1G02440	3
AT1G02450	1
AT1G02460	91
AT1G02470	6
AT1G02475	269
AT1G02480	0
AT1G02490	0
AT1G02500	9621
AT1G02510	0
AT1G02520	529
AT1G02530	2
AT1G02540	0
AT1G02550	0
AT1G02560	1853
AT1G02570	1
AT1G02575	0
AT1G02580	22
AT1G02590	0
AT1G02600	0
AT1G02610	137
AT1G02620	0
AT1G02630	3
AT1G02640	5380
AT1G02650	38
AT1G02660	964
AT1G02670	57
AT1G02680	222
AT1G02690	295
AT1G02700	35
AT1G02710	1
AT1G02720	318
AT1G02730	347
AT1G02740	131
AT1G02750	192
AT1G02760	0
AT1G02770	35
AT1G02780	6640
AT1G02790	0
AT1G02800	1011
AT1G02810	255
AT1G02813	0
AT1G02816	458
AT1G02820	2
AT1G02830	0
AT1G02840	4955
AT1G02850	1762
AT1G02860	504
AT1G02870	151
AT1G02880	317
AT1G02890	2668
AT1G02900	569
AT1G02910	548
AT1G02920	645
AT1G02930	199
AT1G02940	0
AT1G02950	196
AT1G02952	0
AT1G02960	332
AT1G02965	0
AT1G02970	54
AT1G02980	1
AT1G02990	548
AT1G03000	649
AT1G03010	52
AT1G03020	0
AT1G03022	0
AT1G03030	345
AT1G03040	731
AT1G03050	0
AT1G03055	3
AT1G03060	2282
AT1G03070	35
AT1G03080	3713
AT1G03090	5211
AT1G03100	29
AT1G03103	0
AT1G03106	116
AT1G03110	155
AT1G03120	32
AT1G03130	2015
AT1G03140	1154
AT1G03150	158
AT1G03160	1217
AT1G03170	45
AT1G03180	54
AT1G03190	276
AT1G03200	1
AT1G03210	341
AT1G03220	6547
AT1G03230	1174
AT1G03240	0
AT1G03250	262
AT1G03260	216
AT1G03270	36
AT1G03280	1002
AT1G03290	534
AT1G03300	59
AT1G03310	259
AT1G03320	21
AT1G03330	364
AT1G03340	48
AT1G03350	1145
AT1G03360	82
AT1G03365	409
AT1G03370	747
AT1G03380	1597
AT1G03390	0
AT1G03400	82
AT1G03410	298
AT1G03430	407
AT1G03440	194
AT1G03445	50
AT1G03457	468
AT1G03470	343
AT1G03475	2567
AT1G03490	0
AT1G03495	0
AT1G03502	0
AT1G03506	17
AT1G03510	35
AT1G03515	0
AT1G03520	340
AT1G03530	232
AT1G03540	25
AT1G03545	25
AT1G03550	560
AT1G03560	244
AT1G03570	0
AT1G03590	928
AT1G03600	1782
AT1G03610	736
AT1G03620	52
AT1G03630	682
AT1G03640	0
AT1G03650	28
AT1G03660	22
AT1G03670	0
AT1G03680	927
AT1G03687	247
AT1G03700	2
AT1G03710	2
AT1G03720	0
AT1G03730	140
AT1G03740	719
AT1G03743	0
AT1G03746	0
AT1G03750	149
AT1G03760	102
AT1G03770	176
AT1G03780	149
AT1G03790	996
AT1G03800	13
AT1G03810	0
AT1G03820	45
AT1G03830	202
AT1G03840	36
AT1G03850	684
AT1G03860	600
AT1G03870	16530
AT1G03880	4
AT1G03890	1
AT1G03900	2699
AT1G03905	110
AT1G03910	1424
AT1G03920	181
AT1G03930	699
AT1G03935	38
AT1G03940	0
AT1G03950	138
AT1G03960	205
AT1G03970	211
AT1G03980	4
AT1G03982	0
AT1G03990	2
AT1G04000	375
AT1G04010	286
AT1G04020	83
AT1G04030	170
AT1G04040	3497
AT1G04050	81
AT1G04070	69
AT1G04080	2565
AT1G04090	25
AT1G04100	106
AT1G04110	35
AT1G04120	2372
AT1G04130	130
AT1G04140	2749
AT1G04150	3
AT1G04160	273
AT1G04170	1534
AT1G04171	0
AT1G04180	19
AT1G04190	417
AT1G04200	571
AT1G04210	1019
AT1G04220	1291
AT1G04230	149
AT1G04240	1611
AT1G04250	4584
AT1G04260	279
AT1G04270	3132
AT1G04280	1223
AT1G04290	137
AT1G04295	21
AT1G04300	3210
AT1G04310	651
AT1G04320	0
AT1G04330	6
AT1G04340	254
AT1G04350	69
AT1G04360	45
AT1G04370	0
AT1G04380	1
AT1G04390	249
AT1G04400	3833
AT1G04410	10981
AT1G04420	899
AT1G04425	19
AT1G04430	3251
AT1G04440	1797
AT1G04445	4
AT1G04450	0
AT1G04470	1
AT1G04480	1445
AT1G04490	19
AT1G04500	8
AT1G04501	0
AT1G04510	901
AT1G04520	232
AT1G04530	633
AT1G04540	0
AT1G04550	323
AT1G04555	66
AT1G04560	40
AT1G04570	14
AT1G04580	4
AT1G04590	279
AT1G04600	4
AT1G04610	207
AT1G04620	851
AT1G04625	0
AT1G04630	467
AT1G04635	13
AT1G04640	163
AT1G04645	0
AT1G04650	24
AT1G04660	4
AT1G04670	0
AT1G04680	3791
AT1G04684	0
AT1G04690	1221
AT1G04700	38
AT1G04710	212
AT1G04720	0
AT1G04730	116
AT1G04750	1418
AT1G04760	28
AT1G04770	278
AT1G04778	16
AT1G04780	1177
AT1G04790	468
AT1G04800	859
AT1G04810	1742
AT1G04820	14351
AT1G04830	631
AT1G04840	16
AT1G04850	1852
AT1G04860	874
AT1G04870	315
AT1G04880	4
AT1G04890	0
AT1G04900	113
AT1G04910	806
AT1G04920	52
AT1G04930	92
AT1G04940	168
AT1G04945	55
AT1G04950	578
AT1G04960	498
AT1G04970	869
AT1G04980	213
AT1G04985	492
AT1G04990	486
AT1G05000	225
AT1G05010	1617
AT1G05020	23
AT1G05030	210
AT1G05040	0
AT1G05055	154
AT1G05060	221
AT1G05065	9
AT1G05070	254
AT1G05080	0
AT1G05085	0
AT1G05090	10
AT1G05100	33
AT1G05120	735
AT1G05136	0
AT1G05140	640
AT1G05150	1675
AT1G05160	201
AT1G05170	536
AT1G05180	535
AT1G05190	3266
AT1G05200	152
AT1G05205	249
AT1G05210	61
AT1G05220	60
AT1G05230	561
AT1G05240	0
AT1G05250	0
AT1G05260	2779
AT1G05270	953
AT1G05280	25
AT1G05290	0
AT1G05291	0
AT1G05300	73
AT1G05310	92
AT1G05320	682
AT1G05330	6
AT1G05340	519
AT1G05350	626
AT1G05360	501
AT1G05370	32
AT1G05380	1547
AT1G05385	208
AT1G05390	0
AT1G05400	23
AT1G05410	246
AT1G05420	65
AT1G05430	332
AT1G05440	20
AT1G05450	1
AT1G05460	225
AT1G05470	189
AT1G05490	151
AT1G05500	780
AT1G05510	9
AT1G05520	1203
AT1G05530	34
AT1G05540	10
AT1G05550	4
AT1G05560	2197
AT1G05562	106
AT1G05570	3054
AT1G05575	27
AT1G05577	5
AT1G05580	0
AT1G05590	449
AT1G05600	164
AT1G05610	17
AT1G05615	0
AT1G05620	669
AT1G05630	210
AT1G05640	95
AT1G05650	27
AT1G05660	78
AT1G05670	139
AT1G05675	34
AT1G05680	958
AT1G05690	14
AT1G05700	168
AT1G05710	108
AT1G05720	362
AT1G05730	6
AT1G05740	0
AT1G05750	113
AT1G05760	72
AT1G05770	18
AT1G05780	182
AT1G05785	161
AT1G05790	1002
AT1G05800	0
AT1G05805	696
AT1G05810	728
AT1G05820	99
AT1G05830	1620
AT1G05835	836
AT1G05840	881
AT1G05850	11774
AT1G05860	197
AT1G05870	725
AT1G05880	3
AT1G05890	3567
AT1G05894	7
AT1G05900	242
AT1G05910	507
AT1G05920	0
AT1G05925	0
AT1G05930	0
AT1G05940	919
AT1G05950	95
AT1G05960	3009
AT1G05970	117
AT1G05980	0
AT1G05990	0
AT1G06000	290
AT1G06002	135
AT1G06010	166
AT1G06020	3
AT1G06030	1
AT1G06040	1167
AT1G06050	121
AT1G06060	589
AT1G06070	685
AT1G06080	579
AT1G06090	140
AT1G06100	0
AT1G06110	1281
AT1G06120	38
AT1G06130	468
AT1G06135	2
AT1G06137	0
AT1G06140	18
AT1G06148	1
AT1G06149	0
AT1G06150	38
AT1G06160	2
AT1G06170	0
AT1G06180	100
AT1G06190	975
AT1G06200	646
AT1G06210	459
AT1G06220	1076
AT1G06225	7
AT1G06230	1582
AT1G06240	140
AT1G06250	11
AT1G06260	0
AT1G06265	230
AT1G06270	44
AT1G06280	0
AT1G06290	1556
AT1G06310	11
AT1G06320	5
AT1G06330	31
AT1G06340	5
AT1G06350	429
AT1G06360	1664
AT1G06380	121
AT1G06390	1927
AT1G06400	1049
AT1G06410	3214
AT1G06420	23
AT1G06430	797
AT1G06440	24
AT1G06450	115
AT1G06460	282
AT1G06470	425
AT1G06475	24
AT1G06480	0
AT1G06490	131
AT1G06500	164
AT1G06510	188
AT1G06515	281
AT1G06520	24
AT1G06530	979
AT1G06540	2
AT1G06550	589
AT1G06560	213
AT1G06570	2128
AT1G06580	64
AT1G06590	212
AT1G06610	0
AT1G06620	330
AT1G06630	380
AT1G06640	1534
AT1G06645	88
AT1G06650	279
AT1G06660	23
AT1G06670	1341
AT1G06680	6291
AT1G06690	261
AT1G06700	3322
AT1G06710	85
AT1G06720	432
AT1G06730	308
AT1G06750	41
AT1G06760	2569
AT1G06770	169
AT1G06780	391
AT1G06790	101
AT1G06800	323
AT1G06810	1
AT1G06820	528
AT1G06830	7
AT1G06840	911
AT1G06850	713
AT1G06860	0
AT1G06870	574
AT1G06880	0
AT1G06890	1744
AT1G06900	1648
AT1G06910	84
AT1G06920	0
AT1G06923	2
AT1G06925	18
AT1G06930	98
AT1G06950	3468
AT1G06960	212
AT1G06970	2
AT1G06980	473
AT1G06990	0
AT1G07000	429
AT1G07010	287
AT1G07020	226
AT1G07025	0
AT1G07030	564
AT1G07040	860
AT1G07050	63
AT1G07051	0
AT1G07060	1
AT1G07070	95
AT1G07080	1752
AT1G07090	334
AT1G07100	0
AT1G07110	2357
AT1G07119	21
AT1G07120	7
AT1G07128	24
AT1G07130	66
AT1G07135	141
AT1G07140	3765
AT1G07150	199
AT1G07160	18
AT1G07170	281
AT1G07175	3
AT1G07180	7
AT1G07190	0
AT1G07200	678
AT1G07210	281
AT1G07220	151
AT1G07230	796
AT1G07240	784
AT1G07250	495
AT1G07260	259
AT1G07270	11
AT1G07280	189
AT1G07290	37
AT1G07300	77
AT1G07310	1322
AT1G07320	4584
AT1G07330	0
AT1G07340	0
AT1G07350	1277
AT1G07360	896
AT1G07370	116
AT1G07380	377
AT1G07390	43
AT1G07400	208
AT1G07410	47
AT1G07420	778
AT1G07430	26
AT1G07440	198
AT1G07450	0
AT1G07460	0
AT1G07470	513
AT1G07473	0
AT1G07476	0
AT1G07480	639
AT1G07485	0
AT1G07490	11
AT1G07500	4
AT1G07510	709
AT1G07520	344
AT1G07530	1165
AT1G07540	0
AT1G07550	19
AT1G07560	75
AT1G07570	665
AT1G07580	0
AT1G07590	5007
AT1G07600	0
AT1G07610	984
AT1G07615	150
AT1G07620	42
AT1G07630	559
AT1G07640	457
AT1G07645	14
AT1G07650	1936
AT1G07660	197
AT1G07670	1258
AT1G07680	1
AT1G07690	48
AT1G07700	230
AT1G07702	0
AT1G07705	382
AT1G07710	4
AT1G07720	1037
AT1G07725	1
AT1G07728	490
AT1G07730	0
AT1G07740	48
