Geneid	/ufrc/jkim6/share/braskey/data/PRJNA549285/TopHat/alignments/SRR9313212.sam
AT1G01010	245
AT1G01020	176
AT1G01030	67
AT1G01040	1212
AT1G01046	5
AT1G01050	734
AT1G01060	1280
AT1G01070	80
AT1G01073	0
AT1G01080	659
AT1G01090	3232
AT1G01100	1716
AT1G01110	152
AT1G01115	0
AT1G01120	4273
AT1G01130	15
AT1G01140	1221
AT1G01150	0
AT1G01160	613
AT1G01170	637
AT1G01180	354
AT1G01183	0
AT1G01190	3
AT1G01200	107
AT1G01210	66
AT1G01220	310
AT1G01225	21
AT1G01230	436
AT1G01240	373
AT1G01250	3
AT1G01260	515
AT1G01270	0
AT1G01280	0
AT1G01290	166
AT1G01300	1964
AT1G01305	0
AT1G01310	0
AT1G01320	6843
AT1G01340	189
AT1G01350	248
AT1G01355	1
AT1G01360	181
AT1G01370	23
AT1G01380	39
AT1G01390	456
AT1G01400	0
AT1G01410	0
AT1G01420	36
AT1G01430	1081
AT1G01440	417
AT1G01448	521
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	1956
AT1G01471	0
AT1G01480	43
AT1G01490	1343
AT1G01500	126
AT1G01510	738
AT1G01520	6
AT1G01530	0
AT1G01540	1320
AT1G01550	1776
AT1G01560	12
AT1G01570	31
AT1G01580	38
AT1G01590	0
AT1G01600	370
AT1G01610	1136
AT1G01620	24506
AT1G01630	542
AT1G01640	175
AT1G01650	794
AT1G01660	2
AT1G01670	2
AT1G01680	8
AT1G01690	52
AT1G01695	0
AT1G01700	2
AT1G01710	591
AT1G01720	1910
AT1G01725	98
AT1G01730	320
AT1G01740	51
AT1G01750	19
AT1G01760	40
AT1G01770	581
AT1G01780	1569
AT1G01790	789
AT1G01800	633
AT1G01810	11
AT1G01820	834
AT1G01830	325
AT1G01840	3
AT1G01860	155
AT1G01870	0
AT1G01880	27
AT1G01890	0
AT1G01900	263
AT1G01910	496
AT1G01920	186
AT1G01930	317
AT1G01940	153
AT1G01950	482
AT1G01960	2105
AT1G01970	337
AT1G01980	0
AT1G01990	286
AT1G02000	252
AT1G02010	413
AT1G02020	308
AT1G02030	6
AT1G02040	7
AT1G02050	161
AT1G02060	173
AT1G02065	3
AT1G02070	4
AT1G02074	1
AT1G02080	3081
AT1G02090	410
AT1G02100	1099
AT1G02110	702
AT1G02120	1364
AT1G02130	854
AT1G02140	1252
AT1G02145	380
AT1G02150	1935
AT1G02160	242
AT1G02170	632
AT1G02180	82
AT1G02190	6
AT1G02205	2467
AT1G02210	0
AT1G02220	154
AT1G02230	32
AT1G02250	0
AT1G02260	319
AT1G02270	220
AT1G02280	1997
AT1G02290	133
AT1G02300	342
AT1G02305	2142
AT1G02310	6
AT1G02320	0
AT1G02330	302
AT1G02335	302
AT1G02340	701
AT1G02350	15
AT1G02360	262
AT1G02370	32
AT1G02380	13
AT1G02390	14
AT1G02391	0
AT1G02400	599
AT1G02405	5
AT1G02410	233
AT1G02420	87
AT1G02430	14
AT1G02440	3
AT1G02450	1
AT1G02460	38
AT1G02470	12
AT1G02475	207
AT1G02480	0
AT1G02490	0
AT1G02500	8138
AT1G02510	0
AT1G02520	374
AT1G02530	2
AT1G02540	0
AT1G02550	0
AT1G02560	1433
AT1G02570	0
AT1G02575	0
AT1G02580	15
AT1G02590	0
AT1G02600	0
AT1G02610	96
AT1G02620	3
AT1G02630	6
AT1G02640	4068
AT1G02650	20
AT1G02660	740
