Geneid	/ufrc/jkim6/share/braskey/data/PRJNA549285/TopHat/alignments/SRR9313209.sam
AT1G01010	391
AT1G01020	268
AT1G01030	67
AT1G01040	1305
AT1G01046	2
AT1G01050	972
AT1G01060	1577
AT1G01070	97
AT1G01073	0
AT1G01080	805
AT1G01090	3713
AT1G01100	2326
AT1G01110	204
AT1G01115	0
AT1G01120	5619
AT1G01130	30
AT1G01140	1716
AT1G01150	1
AT1G01160	669
AT1G01170	649
AT1G01180	407
AT1G01183	0
AT1G01190	8
AT1G01200	182
AT1G01210	76
AT1G01220	394
AT1G01225	53
AT1G01230	566
AT1G01240	543
AT1G01250	3
AT1G01260	562
AT1G01270	0
AT1G01280	0
AT1G01290	198
AT1G01300	2392
AT1G01305	0
AT1G01310	1
AT1G01320	10218
AT1G01340	242
AT1G01350	297
AT1G01355	4
AT1G01360	213
AT1G01370	58
AT1G01380	69
AT1G01390	377
AT1G01400	0
AT1G01410	0
AT1G01420	53
AT1G01430	1424
AT1G01440	576
AT1G01448	563
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	2427
AT1G01471	0
AT1G01480	49
AT1G01490	1408
AT1G01500	137
AT1G01510	978
AT1G01520	7
AT1G01530	0
AT1G01540	1772
AT1G01550	2054
AT1G01560	9
AT1G01570	40
AT1G01580	45
AT1G01590	1
AT1G01600	623
AT1G01610	1319
AT1G01620	31504
AT1G01630	852
AT1G01640	202
AT1G01650	1023
AT1G01660	3
AT1G01670	4
AT1G01680	30
AT1G01690	69
AT1G01695	3
AT1G01700	6
AT1G01710	659
AT1G01720	2486
AT1G01725	122
AT1G01730	357
AT1G01740	48
AT1G01750	37
AT1G01760	65
AT1G01770	661
AT1G01780	1470
AT1G01790	1242
AT1G01800	822
AT1G01810	8
AT1G01820	1073
AT1G01830	427
AT1G01840	11
AT1G01860	166
AT1G01870	0
AT1G01880	34
AT1G01890	0
AT1G01900	310
AT1G01910	679
AT1G01920	291
AT1G01930	370
AT1G01940	181
AT1G01950	751
AT1G01960	2885
AT1G01970	494
AT1G01980	0
AT1G01990	300
AT1G02000	274
AT1G02010	677
AT1G02020	305
AT1G02030	9
AT1G02040	5
AT1G02050	233
