Geneid	/ufrc/jkim6/share/braskey/data/PRJNA549285/TopHat/alignments/SRR9313213.sam
AT1G01010	213
AT1G01020	166
AT1G01030	49
AT1G01040	1093
AT1G01046	4
AT1G01050	669
AT1G01060	814
AT1G01070	61
AT1G01073	0
AT1G01080	564
AT1G01090	3071
AT1G01100	1455
AT1G01110	106
AT1G01115	0
AT1G01120	3780
AT1G01130	17
AT1G01140	933
AT1G01150	1
AT1G01160	495
AT1G01170	555
AT1G01180	326
AT1G01183	0
AT1G01190	8
AT1G01200	80
AT1G01210	38
AT1G01220	281
AT1G01225	17
AT1G01230	407
AT1G01240	423
AT1G01250	4
AT1G01260	412
AT1G01270	0
AT1G01280	0
AT1G01290	144
AT1G01300	1736
AT1G01305	0
AT1G01310	0
AT1G01320	5534
AT1G01340	170
AT1G01350	201
AT1G01355	2
AT1G01360	178
AT1G01370	32
AT1G01380	26
AT1G01390	413
AT1G01400	0
AT1G01410	0
AT1G01420	15
AT1G01430	995
AT1G01440	375
AT1G01448	426
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	1849
AT1G01471	0
AT1G01480	39
AT1G01490	1090
AT1G01500	113
AT1G01510	554
AT1G01520	1
AT1G01530	0
AT1G01540	1082
AT1G01550	1643
AT1G01560	3
AT1G01570	20
AT1G01580	21
AT1G01590	0
AT1G01600	362
AT1G01610	786
AT1G01620	22627
AT1G01630	446
AT1G01640	190
AT1G01650	692
AT1G01660	5
AT1G01670	1
AT1G01680	4
AT1G01690	36
AT1G01695	1
AT1G01700	4
AT1G01710	447
AT1G01720	1855
AT1G01725	93
AT1G01730	265
AT1G01740	43
AT1G01750	9
AT1G01760	38
AT1G01770	478
AT1G01780	1414
AT1G01790	638
AT1G01800	533
AT1G01810	5
AT1G01820	736
AT1G01830	278
AT1G01840	4
AT1G01860	130
AT1G01870	0
AT1G01880	19
AT1G01890	0
AT1G01900	175
AT1G01910	394
AT1G01920	173
AT1G01930	257
AT1G01940	142
AT1G01950	449
AT1G01960	1573
AT1G01970	291
