Geneid	/ufrc/jkim6/share/braskey/data/PRJNA549285/TopHat/alignments/SRR9313228.sam
AT1G01010	354
AT1G01020	270
AT1G01030	38
AT1G01040	2033
AT1G01046	14
AT1G01050	1372
AT1G01060	10894
AT1G01070	134
AT1G01073	0
AT1G01080	1046
AT1G01090	5027
AT1G01100	2586
AT1G01110	175
AT1G01115	0
AT1G01120	7797
AT1G01130	54
AT1G01140	2589
AT1G01150	2
AT1G01160	723
AT1G01170	922
AT1G01180	496
AT1G01183	0
AT1G01190	11
AT1G01200	105
AT1G01210	131
AT1G01220	514
AT1G01225	50
AT1G01230	560
AT1G01240	492
AT1G01250	5
AT1G01260	316
AT1G01270	0
AT1G01280	0
AT1G01290	270
AT1G01300	1909
AT1G01305	0
AT1G01310	4
AT1G01320	14522
AT1G01340	274
AT1G01350	388
AT1G01355	4
AT1G01360	634
AT1G01370	61
AT1G01380	31
AT1G01390	1129
AT1G01400	0
AT1G01410	0
AT1G01420	216
AT1G01430	1476
AT1G01440	704
AT1G01448	502
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	3006
AT1G01471	0
AT1G01480	85
AT1G01490	2160
AT1G01500	162
AT1G01510	910
AT1G01520	579
AT1G01530	0
AT1G01540	2541
AT1G01550	2928
AT1G01560	52
AT1G01570	24
AT1G01580	40
AT1G01590	2
AT1G01600	591
AT1G01610	2069
AT1G01620	33004
AT1G01630	903
AT1G01640	217
AT1G01650	1035
AT1G01660	0
AT1G01670	1
AT1G01680	7
AT1G01690	87
AT1G01695	3
AT1G01700	3
AT1G01710	775
AT1G01720	4436
AT1G01725	103
AT1G01730	475
AT1G01740	75
AT1G01750	26
AT1G01760	60
AT1G01770	703
AT1G01780	1921
AT1G01790	2187
AT1G01800	865
AT1G01810	8
AT1G01820	1236
AT1G01830	625
AT1G01840	11
AT1G01860	213
AT1G01870	0
AT1G01880	35
AT1G01890	0
AT1G01900	366
AT1G01910	756
AT1G01920	245
AT1G01930	382
AT1G01940	289
AT1G01950	757
AT1G01960	2699
AT1G01970	682
AT1G01980	0
AT1G01990	351
AT1G02000	354
AT1G02010	674
AT1G02020	426
AT1G02030	25
AT1G02040	3
AT1G02050	208
AT1G02060	211
AT1G02065	0
AT1G02070	3
AT1G02074	0
AT1G02080	4668
AT1G02090	711
AT1G02100	1626
AT1G02110	819
AT1G02120	2094
AT1G02130	1247
AT1G02140	2044
AT1G02145	450
AT1G02150	2317
AT1G02160	278
AT1G02170	811
AT1G02180	165
AT1G02190	23
AT1G02205	6224
AT1G02210	0
AT1G02220	319
AT1G02230	24
AT1G02250	0
AT1G02260	417
AT1G02270	346
AT1G02280	2784
AT1G02290	208
AT1G02300	356
AT1G02305	2650
AT1G02310	22
AT1G02320	0
AT1G02330	444
AT1G02335	324
AT1G02340	644
AT1G02350	10
AT1G02360	445
AT1G02370	37
AT1G02380	32
AT1G02390	41
AT1G02391	0
AT1G02400	449
AT1G02405	10
AT1G02410	459
AT1G02420	107
AT1G02430	14
AT1G02440	2
AT1G02450	1
AT1G02460	42
AT1G02470	32
AT1G02475	509
AT1G02480	0
AT1G02490	0
AT1G02500	10058
AT1G02510	1
AT1G02520	565
AT1G02530	8
AT1G02540	0
AT1G02550	0
AT1G02560	2176
AT1G02570	0
AT1G02575	0
AT1G02580	18
AT1G02590	0
AT1G02600	0
AT1G02610	85
AT1G02620	1
AT1G02630	6
AT1G02640	1255
AT1G02650	4
AT1G02660	507
AT1G02670	69
AT1G02680	207
AT1G02690	248
AT1G02700	16
AT1G02710	0
AT1G02720	206
AT1G02730	495
AT1G02740	136
AT1G02750	295
AT1G02760	0
AT1G02770	23
AT1G02780	7389
AT1G02790	0
AT1G02800	323
AT1G02810	201
AT1G02813	0
AT1G02816	572
AT1G02820	26
AT1G02830	0
AT1G02840	4842
AT1G02850	2244
AT1G02860	689
AT1G02870	177
AT1G02880	585
AT1G02890	3538
AT1G02900	520
AT1G02910	873
AT1G02920	806
AT1G02930	316
AT1G02940	0
AT1G02950	225
AT1G02952	0
AT1G02960	379
AT1G02965	1
AT1G02970	34
AT1G02980	2
AT1G02990	603
AT1G03000	755
AT1G03010	30
AT1G03020	0
AT1G03022	0
AT1G03030	371
AT1G03040	928
AT1G03050	0
AT1G03055	25
AT1G03060	2578
AT1G03070	41
AT1G03080	3828
AT1G03090	3696
AT1G03100	50
AT1G03103	0
AT1G03106	64
AT1G03110	178
AT1G03120	19
AT1G03130	10765
AT1G03140	1167
AT1G03150	232
AT1G03160	1333
AT1G03170	52
AT1G03180	48
AT1G03190	324
AT1G03200	100
AT1G03210	365
AT1G03220	8881
AT1G03230	1101
AT1G03240	7
AT1G03250	355
AT1G03260	253
AT1G03270	37
AT1G03280	1170
AT1G03290	686
AT1G03300	86
AT1G03310	558
AT1G03320	37
AT1G03330	391
AT1G03340	51
AT1G03350	1385
AT1G03360	69
AT1G03365	451
AT1G03370	937
AT1G03380	2002
AT1G03390	0
AT1G03400	152
AT1G03410	334
AT1G03430	438
AT1G03440	243
AT1G03445	67
AT1G03457	612
AT1G03470	272
AT1G03475	3016
AT1G03490	0
AT1G03495	0
AT1G03502	20
AT1G03506	16
AT1G03510	38
AT1G03515	0
AT1G03520	390
AT1G03530	282
AT1G03540	35
AT1G03545	29
AT1G03550	698
AT1G03560	337
AT1G03570	0
AT1G03590	1359
AT1G03600	6254
AT1G03610	916
AT1G03620	43
AT1G03630	1641
AT1G03640	0
AT1G03650	28
AT1G03660	8
AT1G03670	0
AT1G03680	1637
AT1G03687	268
AT1G03700	3
AT1G03710	1
AT1G03720	0
AT1G03730	159
AT1G03740	849
AT1G03743	0
AT1G03746	0
AT1G03750	160
AT1G03760	102
AT1G03770	205
AT1G03780	173
AT1G03790	687
AT1G03800	22
AT1G03810	0
AT1G03820	55
AT1G03830	207
AT1G03840	40
AT1G03850	648
AT1G03860	551
AT1G03870	17520
AT1G03880	12
AT1G03890	0
AT1G03900	2840
AT1G03905	116
AT1G03910	1603
AT1G03920	255
AT1G03930	941
AT1G03935	31
AT1G03940	0
AT1G03950	224
AT1G03960	250
AT1G03970	260
AT1G03980	2
AT1G03982	1
AT1G03990	1
AT1G04000	642
AT1G04010	285
AT1G04020	158
AT1G04030	163
AT1G04040	3833
AT1G04050	88
AT1G04070	99
AT1G04080	2807
AT1G04090	48
AT1G04100	83
AT1G04110	32
AT1G04120	2828
AT1G04130	135
AT1G04140	3189
AT1G04150	3
AT1G04160	294
AT1G04170	1808
AT1G04171	0
AT1G04180	29
AT1G04190	551
AT1G04200	624
AT1G04210	1414
AT1G04220	2159
AT1G04230	203
AT1G04240	1674
AT1G04250	4078
AT1G04260	354
AT1G04270	3412
AT1G04280	1351
AT1G04290	251
AT1G04295	14
AT1G04300	3729
AT1G04310	264
AT1G04320	0
AT1G04330	7
AT1G04340	289
AT1G04350	373
AT1G04360	49
AT1G04370	0
AT1G04380	1
AT1G04390	292
AT1G04400	4403
AT1G04410	11549
AT1G04420	1086
AT1G04425	27
AT1G04430	3010
AT1G04440	2045
AT1G04445	8
AT1G04450	0
AT1G04470	2
AT1G04480	1406
AT1G04490	13
AT1G04500	6
AT1G04501	0
AT1G04510	1005
AT1G04520	354
AT1G04530	2633
AT1G04540	4
AT1G04550	837
AT1G04555	88
AT1G04560	14
AT1G04570	32
AT1G04580	5
AT1G04590	280
AT1G04600	17
AT1G04610	146
AT1G04620	615
AT1G04625	0
AT1G04630	479
AT1G04635	16
AT1G04640	305
AT1G04645	0
AT1G04650	46
AT1G04660	23
AT1G04670	0
AT1G04680	3197
AT1G04684	0
AT1G04690	1259
AT1G04700	42
AT1G04710	334
AT1G04720	0
AT1G04730	106
AT1G04750	1446
AT1G04760	25
AT1G04770	760
AT1G04778	19
AT1G04780	1309
AT1G04790	555
AT1G04800	1519
AT1G04810	1826
AT1G04820	16010
AT1G04830	571
AT1G04840	21
AT1G04850	1994
AT1G04860	993
AT1G04870	298
AT1G04880	21
AT1G04890	0
AT1G04900	91
AT1G04910	750
AT1G04920	56
AT1G04930	67
AT1G04940	304
AT1G04945	72
AT1G04950	579
AT1G04960	545
AT1G04970	900
AT1G04980	146
AT1G04985	534
AT1G04990	568
AT1G05000	111
AT1G05010	1510
AT1G05020	19
AT1G05030	255
AT1G05040	0
AT1G05055	182
AT1G05060	276
