Geneid	/ufrc/jkim6/share/braskey/data/PRJNA549285/TopHat/alignments/SRR9313223.sam
AT1G01010	331
AT1G01020	178
AT1G01030	45
AT1G01040	1250
AT1G01046	1
AT1G01050	948
AT1G01060	7743
AT1G01070	92
AT1G01073	0
AT1G01080	943
AT1G01090	3552
AT1G01100	2380
AT1G01110	91
AT1G01115	0
AT1G01120	6670
AT1G01130	39
AT1G01140	1558
AT1G01150	0
AT1G01160	480
AT1G01170	628
AT1G01180	433
AT1G01183	3
AT1G01190	9
AT1G01200	66
AT1G01210	92
AT1G01220	322
AT1G01225	19
AT1G01230	371
AT1G01240	320
AT1G01250	3
AT1G01260	246
AT1G01270	0
AT1G01280	0
AT1G01290	155
AT1G01300	1862
AT1G01305	0
AT1G01310	1
AT1G01320	17796
AT1G01340	208
AT1G01350	311
AT1G01355	0
AT1G01360	361
AT1G01370	57
AT1G01380	26
AT1G01390	320
AT1G01400	0
AT1G01410	0
AT1G01420	100
AT1G01430	1345
AT1G01440	438
AT1G01448	312
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	1959
AT1G01471	0
AT1G01480	70
AT1G01490	1502
AT1G01500	130
AT1G01510	594
AT1G01520	357
AT1G01530	0
AT1G01540	1914
AT1G01550	1638
AT1G01560	23
AT1G01570	25
AT1G01580	66
AT1G01590	0
AT1G01600	528
AT1G01610	1662
AT1G01620	21965
AT1G01630	777
AT1G01640	150
AT1G01650	763
AT1G01660	3
AT1G01670	3
AT1G01680	35
AT1G01690	52
AT1G01695	1
AT1G01700	3
AT1G01710	534
AT1G01720	2153
AT1G01725	57
AT1G01730	302
AT1G01740	42
AT1G01750	15
AT1G01760	37
AT1G01770	410
AT1G01780	1126
AT1G01790	1772
AT1G01800	699
AT1G01810	5
AT1G01820	767
AT1G01830	351
AT1G01840	11
AT1G01860	158
AT1G01870	0
AT1G01880	12
AT1G01890	0
AT1G01900	211
AT1G01910	667
AT1G01920	181
AT1G01930	286
AT1G01940	216
AT1G01950	513
AT1G01960	1664
AT1G01970	649
AT1G01980	0
AT1G01990	284
AT1G02000	327
AT1G02010	444
AT1G02020	358
AT1G02030	18
AT1G02040	9
AT1G02050	143
AT1G02060	114
AT1G02065	3
AT1G02070	2
AT1G02074	1
AT1G02080	2504
AT1G02090	683
AT1G02100	1071
AT1G02110	596
AT1G02120	1380
AT1G02130	938
AT1G02140	1546
