Geneid	/ufrc/jkim6/share/braskey/data/PRJNA549285/TopHat/alignments/SRR9313214.sam
AT1G01010	169
AT1G01020	188
AT1G01030	57
AT1G01040	922
AT1G01046	4
AT1G01050	858
AT1G01060	988
AT1G01070	79
AT1G01073	0
AT1G01080	534
AT1G01090	3190
AT1G01100	1961
AT1G01110	147
AT1G01115	0
AT1G01120	4120
AT1G01130	29
AT1G01140	1199
AT1G01150	0
AT1G01160	576
AT1G01170	655
AT1G01180	364
AT1G01183	0
AT1G01190	11
AT1G01200	83
AT1G01210	60
AT1G01220	279
AT1G01225	28
AT1G01230	421
AT1G01240	380
AT1G01250	4
AT1G01260	402
AT1G01270	0
AT1G01280	0
AT1G01290	147
AT1G01300	1880
AT1G01305	0
AT1G01310	2
AT1G01320	4563
AT1G01340	186
AT1G01350	240
AT1G01355	3
AT1G01360	205
AT1G01370	23
AT1G01380	25
AT1G01390	442
AT1G01400	0
AT1G01410	0
AT1G01420	26
AT1G01430	1017
AT1G01440	408
AT1G01448	416
AT1G01450	0
AT1G01453	3
AT1G01460	0
AT1G01470	2951
AT1G01471	0
AT1G01480	55
AT1G01490	1383
AT1G01500	133
AT1G01510	631
AT1G01520	5
AT1G01530	0
AT1G01540	1084
AT1G01550	1745
AT1G01560	11
AT1G01570	21
AT1G01580	19
AT1G01590	0
AT1G01600	306
AT1G01610	1036
AT1G01620	27270
AT1G01630	460
AT1G01640	171
AT1G01650	740
AT1G01660	2
AT1G01670	1
AT1G01680	4
AT1G01690	41
AT1G01695	3
AT1G01700	2
AT1G01710	514
AT1G01720	2220
AT1G01725	117
AT1G01730	339
AT1G01740	49
AT1G01750	18
AT1G01760	35
AT1G01770	488
AT1G01780	1582
AT1G01790	715
AT1G01800	636
AT1G01810	7
AT1G01820	886
AT1G01830	276
AT1G01840	6
AT1G01860	130
AT1G01870	0
AT1G01880	24
AT1G01890	0
AT1G01900	254
AT1G01910	447
AT1G01920	152
AT1G01930	278
AT1G01940	150
AT1G01950	426
AT1G01960	1513
AT1G01970	300
AT1G01980	1
AT1G01990	261
AT1G02000	245
AT1G02010	371
AT1G02020	294
AT1G02030	9
AT1G02040	7
AT1G02050	186
AT1G02060	110
AT1G02065	1
AT1G02070	5
AT1G02074	1
AT1G02080	2122
AT1G02090	450
AT1G02100	1114
AT1G02110	575
AT1G02120	1226
AT1G02130	814
AT1G02140	1321
AT1G02145	279
AT1G02150	1851
AT1G02160	176
AT1G02170	677
AT1G02180	53
AT1G02190	3
AT1G02205	2006
AT1G02210	0
AT1G02220	215
AT1G02230	43
AT1G02250	1
AT1G02260	258
AT1G02270	208
AT1G02280	2030
AT1G02290	102
AT1G02300	294
AT1G02305	2258
AT1G02310	4
AT1G02320	0
AT1G02330	310
AT1G02335	270
AT1G02340	643
AT1G02350	7
AT1G02360	371
AT1G02370	45
AT1G02380	8
AT1G02390	13
AT1G02391	0
AT1G02400	582
AT1G02405	5
AT1G02410	250
AT1G02420	46
AT1G02430	12
AT1G02440	2
AT1G02450	0
AT1G02460	21
AT1G02470	14
AT1G02475	177
AT1G02480	0
AT1G02490	0
AT1G02500	8103
AT1G02510	0
AT1G02520	353
AT1G02530	13
AT1G02540	0
AT1G02550	0
AT1G02560	1324
AT1G02570	0
AT1G02575	0
AT1G02580	9
AT1G02590	0
AT1G02600	0
AT1G02610	107
AT1G02620	1
AT1G02630	1
AT1G02640	3595
AT1G02650	15
AT1G02660	770
AT1G02670	32
AT1G02680	141
AT1G02690	169
AT1G02700	9
AT1G02710	0
AT1G02720	147
AT1G02730	201
AT1G02740	77
AT1G02750	179
AT1G02760	0
AT1G02770	25
AT1G02780	4802
AT1G02790	0
AT1G02800	872
AT1G02810	149
AT1G02813	0
AT1G02816	324
AT1G02820	1
AT1G02830	0
AT1G02840	4535
AT1G02850	1561
AT1G02860	554
AT1G02870	127
AT1G02880	252
AT1G02890	1748
AT1G02900	381
AT1G02910	418
AT1G02920	503
AT1G02930	117
AT1G02940	0
AT1G02950	114
AT1G02952	0
AT1G02960	262
AT1G02965	0
AT1G02970	23
AT1G02980	0
AT1G02990	273
AT1G03000	412
AT1G03010	19
AT1G03020	0
AT1G03022	0
AT1G03030	244
AT1G03040	587
AT1G03050	0
AT1G03055	1
AT1G03060	996
AT1G03070	42
AT1G03080	2094
AT1G03090	5094
AT1G03100	14
AT1G03103	0
AT1G03106	56
AT1G03110	100
AT1G03120	21
AT1G03130	1691
AT1G03140	1009
AT1G03150	111
AT1G03160	766
AT1G03170	30
AT1G03180	33
AT1G03190	179
AT1G03200	28
AT1G03210	241
AT1G03220	7574
AT1G03230	914
AT1G03240	4
AT1G03250	168
AT1G03260	166
AT1G03270	17
AT1G03280	731
AT1G03290	509
AT1G03300	33
AT1G03310	123
AT1G03320	26
AT1G03330	280
AT1G03340	22
AT1G03350	779
AT1G03360	59
AT1G03365	307
AT1G03370	455
AT1G03380	1195
AT1G03390	0
AT1G03400	82
AT1G03410	232
AT1G03430	293
AT1G03440	163
AT1G03445	41
AT1G03457	262
AT1G03470	228
AT1G03475	1780
AT1G03490	0
AT1G03495	0
AT1G03502	9
AT1G03506	10
AT1G03510	12
AT1G03515	0
AT1G03520	283
AT1G03530	160
AT1G03540	10
AT1G03545	6
AT1G03550	508
AT1G03560	116
AT1G03570	0
AT1G03590	663
AT1G03600	1717
AT1G03610	711
AT1G03620	26
AT1G03630	395
AT1G03640	0
AT1G03650	14
AT1G03660	8
AT1G03670	0
AT1G03680	816
AT1G03687	154
AT1G03700	2
AT1G03710	2
AT1G03720	0
AT1G03730	121
AT1G03740	435
AT1G03743	0
AT1G03746	0
AT1G03750	96
AT1G03760	83
AT1G03770	144
AT1G03780	93
AT1G03790	846
AT1G03800	17
AT1G03810	0
AT1G03820	26
AT1G03830	112
AT1G03840	26
AT1G03850	612
AT1G03860	410
AT1G03870	11654
AT1G03880	4
AT1G03890	0
AT1G03900	2170
AT1G03905	87
AT1G03910	975
AT1G03920	80
AT1G03930	436
AT1G03935	26
AT1G03940	0
AT1G03950	106
AT1G03960	142
AT1G03970	212
AT1G03980	1
AT1G03982	0
AT1G03990	2
AT1G04000	350
AT1G04010	160
AT1G04020	53
AT1G04030	120
AT1G04040	2711
AT1G04050	52
AT1G04070	64
AT1G04080	1670
AT1G04090	10
AT1G04100	65
AT1G04110	11
AT1G04120	1212
AT1G04130	95
AT1G04140	2018
AT1G04150	2
AT1G04160	118
AT1G04170	1185
AT1G04171	0
AT1G04180	11
AT1G04190	295
AT1G04200	338
AT1G04210	618
AT1G04220	756
AT1G04230	113
AT1G04240	1149
AT1G04250	2958
AT1G04260	242
AT1G04270	2318
AT1G04280	1060
AT1G04290	101
AT1G04295	18
AT1G04300	2254
AT1G04310	523
AT1G04320	0
AT1G04330	2
AT1G04340	195
AT1G04350	84
AT1G04360	40
AT1G04370	0
AT1G04380	1
AT1G04390	154
AT1G04400	2833
AT1G04410	8644
AT1G04420	636
AT1G04425	14
AT1G04430	2026
AT1G04440	1384
AT1G04445	11
AT1G04450	0
AT1G04470	1
AT1G04480	1069
AT1G04490	11
AT1G04500	2
AT1G04501	0
AT1G04510	654
AT1G04520	128
AT1G04530	444
AT1G04540	1
AT1G04550	257
AT1G04555	65
