Geneid	/ufrc/jkim6/share/braskey/data/PRJNA549285/TopHat/alignments/SRR9313226.sam
AT1G04120	2349
AT1G04130	139
AT1G04140	2217
AT1G04150	4
AT1G04160	214
AT1G04170	1364
AT1G04171	0
AT1G04180	19
AT1G04190	373
AT1G04200	447
AT1G04210	1096
AT1G04220	2131
AT1G04230	170
AT1G04240	1601
AT1G04250	3136
AT1G04260	268
AT1G04270	2645
AT1G04280	1049
AT1G04290	209
AT1G04295	18
AT1G04300	2463
AT1G04310	174
AT1G04320	0
AT1G04330	3
AT1G04340	222
AT1G04350	362
AT1G04360	34
AT1G04370	0
AT1G04380	0
AT1G04390	219
AT1G04400	3112
AT1G04410	8008
AT1G04420	846
AT1G04425	13
AT1G04430	2089
AT1G04440	1665
AT1G04445	2
AT1G04450	0
AT1G04470	0
AT1G04480	1108
AT1G04490	16
AT1G04500	3
AT1G04501	0
AT1G04510	760
AT1G04520	339
AT1G04530	2418
AT1G04540	0
AT1G04550	692
AT1G04555	79
AT1G04560	51
AT1G04570	44
AT1G04580	4
AT1G04590	209
AT1G04600	10
AT1G04610	86
AT1G04620	351
AT1G04625	0
AT1G04630	331
AT1G04635	16
AT1G04640	235
AT1G04645	0
AT1G04650	38
AT1G04660	13
AT1G04670	0
AT1G04680	2397
AT1G04684	0
AT1G04690	1008
AT1G04700	41
AT1G04710	308
AT1G04720	0
AT1G04730	77
AT1G04750	1033
AT1G04760	18
AT1G04770	511
AT1G04778	19
AT1G04780	972
AT1G04790	403
AT1G04800	1064
AT1G04810	1253
AT1G04820	12512
AT1G04830	484
AT1G04840	19
AT1G04850	1338
AT1G04860	766
AT1G04870	243
AT1G04880	27
AT1G04890	0
AT1G04900	102
AT1G04910	609
AT1G04920	50
AT1G04930	64
AT1G04940	259
AT1G04945	57
AT1G04950	387
AT1G04960	438
AT1G04970	711
AT1G04980	158
AT1G04985	359
AT1G04990	406
AT1G05000	95
AT1G05010	1347
AT1G05020	24
AT1G05030	194
AT1G05040	0
AT1G05055	145
AT1G05060	212
AT1G05065	6
AT1G05070	196
AT1G05080	0
AT1G05085	0
AT1G05090	8
AT1G05100	113
AT1G05120	591
AT1G05136	0
AT1G05140	977
AT1G05150	1161
AT1G05160	235
AT1G05170	617
AT1G05180	409
AT1G05190	3396
AT1G05200	314
AT1G05205	211
AT1G05210	48
AT1G05220	19
AT1G05230	582
AT1G05240	0
AT1G05250	1
AT1G05260	3441
AT1G05270	646
AT1G05280	28
AT1G05290	0
AT1G05291	0
AT1G05300	42
AT1G05310	93
AT1G05320	827
AT1G05330	4
AT1G05340	826
AT1G05350	430
AT1G05360	389
AT1G05370	19
AT1G05380	1041
AT1G05385	220
AT1G05390	0
AT1G05400	28
AT1G05410	167
AT1G05420	84
AT1G05430	351
AT1G05440	9
AT1G05450	5
AT1G05460	154
AT1G05470	219
AT1G05490	86
AT1G05500	696
AT1G05510	11
AT1G05520	872
AT1G05530	32
AT1G05540	10
AT1G05550	2
AT1G05560	1940
AT1G05562	514
AT1G05570	2256
AT1G05575	70
AT1G05577	8
AT1G05580	0
AT1G05590	520
AT1G05600	108
AT1G05610	11
AT1G05615	0
AT1G05620	462
AT1G05630	249
AT1G05640	87
AT1G05650	20
AT1G05660	26
AT1G05670	166
AT1G05675	60
AT1G05680	1284
AT1G05690	89
AT1G05700	104
AT1G05710	119
AT1G05720	246
AT1G05730	3
AT1G05740	0
AT1G05750	67
AT1G05760	149
AT1G05770	26
AT1G05780	129
AT1G05785	172
AT1G05790	777
AT1G05800	0
AT1G05805	519
AT1G05810	284
AT1G05820	74
AT1G05830	1223
AT1G05835	477
AT1G05840	529
AT1G05850	10485
AT1G05860	171
AT1G05870	1496
AT1G05880	4
AT1G05890	2409
AT1G05894	9
AT1G05900	396
AT1G05910	532
AT1G05920	0
AT1G05925	0
AT1G05930	0
AT1G05940	742
AT1G05950	83
AT1G05960	2510
AT1G05970	69
AT1G05980	0
AT1G05990	0
AT1G06000	1165
AT1G06002	92
AT1G06010	120
AT1G06020	5
AT1G06030	0
AT1G06040	4572
AT1G06050	151
AT1G06060	544
AT1G06070	453
AT1G06080	104
AT1G06090	119
AT1G06100	0
AT1G06110	811
AT1G06120	11
AT1G06130	478
AT1G06135	3
AT1G06137	0
AT1G06140	10
AT1G06148	4
AT1G06149	0
AT1G06150	36
AT1G06160	0
AT1G06170	4
AT1G06180	295
AT1G06190	937
AT1G06200	524
AT1G06210	464
AT1G06220	885
AT1G06225	5
AT1G06230	1469
AT1G06240	217
AT1G06250	5
AT1G06260	0
AT1G06265	178
AT1G06270	56
AT1G06280	0
AT1G06290	1138
AT1G06310	7
AT1G06320	2
AT1G06330	6
AT1G06340	1
AT1G06350	96
AT1G06360	2373
AT1G06380	84
AT1G06390	1384
AT1G06400	1018
AT1G06410	4189
AT1G06420	21
AT1G06430	1388
AT1G06440	18
AT1G06450	102
AT1G06460	292
AT1G06470	358
AT1G06475	50
AT1G06480	0
AT1G06490	143
AT1G06500	103
AT1G06510	154
AT1G06515	247
AT1G06520	27
AT1G06530	976
AT1G06540	2
AT1G06550	619
AT1G06560	149
AT1G06570	3240
AT1G06580	56
AT1G06590	181
AT1G06610	0
AT1G06620	285
AT1G06630	276
AT1G06640	1190
AT1G06645	154
AT1G06650	588
AT1G06660	28
AT1G06670	1314
AT1G06680	15510
AT1G06690	233
AT1G06700	2131
AT1G06710	57
AT1G06720	280
AT1G06730	269
AT1G06750	36
AT1G06760	1458
AT1G06770	106
AT1G06780	423
AT1G06790	101
AT1G06800	287
AT1G06810	0
AT1G06820	581
AT1G06830	27
AT1G06840	671
AT1G06850	371
AT1G06860	0
AT1G06870	564
AT1G06880	0
AT1G06890	1244
AT1G06900	1160
AT1G06910	83
AT1G06920	1
AT1G06923	0
AT1G06925	7
AT1G06930	34
AT1G06950	3310
AT1G06960	172
AT1G06970	2
AT1G06980	305
AT1G06990	0
AT1G07000	369
AT1G07010	1907
AT1G07020	155
AT1G07025	0
AT1G07030	658
AT1G07040	687
AT1G07050	156
AT1G07051	0
AT1G07060	1
AT1G07070	93
AT1G07080	1570
AT1G07090	202
AT1G07100	0
AT1G07110	2581
AT1G07119	14
AT1G07120	3
AT1G07128	41
AT1G07130	83
AT1G07135	217
AT1G07140	3050
AT1G07150	1132
AT1G07160	15
AT1G07170	182
AT1G07175	2
AT1G07180	521
AT1G07190	0
AT1G07200	1211
AT1G07210	257
AT1G07220	187
AT1G07230	490
AT1G07240	569
AT1G07250	652
AT1G07260	144
AT1G07270	13
AT1G07280	67
AT1G07290	37
AT1G07300	65
AT1G07310	1021
AT1G07320	4776
AT1G07330	1
AT1G07340	0
AT1G07350	1249
AT1G07360	1057
AT1G07370	131
AT1G07380	291
AT1G07390	50
AT1G07400	414
AT1G07410	27
AT1G07420	600
AT1G07430	43
AT1G07440	262
AT1G07450	1
AT1G07460	0
AT1G07470	436
AT1G07473	1
AT1G07476	0
AT1G07480	455
AT1G07485	2
AT1G07490	6
AT1G07500	6
AT1G07510	668
AT1G07520	298
AT1G07530	1039
AT1G07540	1
AT1G07550	8
AT1G07560	58
AT1G07570	872
AT1G07580	0
AT1G07590	14286
AT1G07600	0
AT1G07610	2780
AT1G07615	84
AT1G07620	59
AT1G07630	548
AT1G07640	597
AT1G07645	13
AT1G07650	1795
AT1G07660	172
AT1G07670	953
AT1G07680	1
AT1G07690	40
AT1G07700	582
AT1G07702	0
AT1G07705	418
AT1G07710	1
AT1G07720	1879
AT1G07725	0
AT1G07728	390
AT1G07730	0
AT1G07740	49
AT1G07745	119
AT1G07747	0
AT1G07750	810
AT1G07760	0
AT1G07770	2160
AT1G07780	84
AT1G07790	395
AT1G07795	2
AT1G07810	923
AT1G07820	483
AT1G07830	161
AT1G07840	227
AT1G07850	0
AT1G07860	0
AT1G07870	221
AT1G07880	17
AT1G07885	1
AT1G07890	15755
AT1G07900	0
AT1G07901	0
AT1G07910	301
AT1G07920	4478
AT1G07930	3002
AT1G07940	2588
AT1G07950	192
AT1G07960	444
AT1G07970	143
AT1G07980	229
AT1G07985	384
AT1G07990	1354
AT1G08000	197
AT1G08005	1
AT1G08010	636
AT1G08030	555
AT1G08032	0
AT1G08035	5
AT1G08040	251
AT1G08050	307
AT1G08060	597
AT1G08065	0
AT1G08070	15
AT1G08080	0
AT1G08090	7
AT1G08100	0
AT1G08110	1026
AT1G08115	78
AT1G08120	1
AT1G08125	248
AT1G08130	424
AT1G08135	0
AT1G08140	0
AT1G08150	0
AT1G08160	508
AT1G08165	5
AT1G08170	1
AT1G08180	66
AT1G08190	2515
AT1G08200	5118
AT1G08210	337
AT1G08220	54
AT1G08230	590
AT1G08240	0
AT1G08250	316
AT1G08260	398
AT1G08270	11
AT1G08280	146
AT1G08290	1
AT1G08300	44
AT1G08310	49
AT1G08315	190
AT1G08320	490
AT1G08340	106
AT1G08350	168
AT1G08360	1483
AT1G08370	906
AT1G08380	11302
AT1G08390	81
AT1G08400	103
AT1G08410	205
AT1G08420	2001
AT1G08430	15
AT1G08440	0
AT1G08450	700
AT1G08460	397
AT1G08465	149
AT1G08470	227
AT1G08480	929
AT1G08490	677
AT1G08500	539
AT1G08510	4234
AT1G08520	4008
AT1G08530	112
AT1G08540	1550
AT1G08550	605
AT1G08560	204
AT1G08570	2788
AT1G08580	227
AT1G08590	463
AT1G08592	59
AT1G08600	950
AT1G08610	60
AT1G08620	1148
AT1G08630	174
AT1G08640	690
AT1G08650	882
AT1G08660	648
AT1G08670	100
AT1G08680	1227
AT1G08695	0
AT1G08700	629
AT1G08710	171
AT1G08720	423
AT1G08730	12
AT1G08750	189
AT1G08760	763
AT1G08770	311
AT1G08780	240
AT1G08790	0
AT1G08800	1009
AT1G08810	145
AT1G08820	729
