Geneid	/ufrc/jkim6/share/braskey/data/PRJNA549285/TopHat/alignments/SRR9313225.sam
AT1G01010	296
AT1G01020	194
AT1G01030	24
AT1G01040	1231
AT1G01046	4
AT1G01050	962
AT1G01060	7795
AT1G01070	68
AT1G01073	0
AT1G01080	766
AT1G01090	2999
AT1G01100	2116
AT1G01110	96
AT1G01115	0
AT1G01120	5166
AT1G01130	32
AT1G01140	1338
AT1G01150	0
AT1G01160	539
AT1G01170	553
AT1G01180	381
AT1G01183	0
AT1G01190	11
AT1G01200	45
AT1G01210	60
AT1G01220	364
AT1G01225	30
AT1G01230	400
AT1G01240	348
AT1G01250	2
AT1G01260	278
AT1G01270	0
AT1G01280	0
AT1G01290	146
AT1G01300	1575
AT1G01305	0
AT1G01310	0
AT1G01320	16756
AT1G01340	282
AT1G01350	299
AT1G01355	5
AT1G01360	433
AT1G01370	49
AT1G01380	16
AT1G01390	298
AT1G01400	0
AT1G01410	0
AT1G01420	99
AT1G01430	1042
AT1G01440	436
AT1G01448	405
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	2691
AT1G01471	0
AT1G01480	34
AT1G01490	1101
AT1G01500	104
AT1G01510	677
AT1G01520	668
AT1G01530	0
AT1G01540	1673
AT1G01550	1733
AT1G01560	11
AT1G01570	23
AT1G01580	41
AT1G01590	0
AT1G01600	389
AT1G01610	1294
AT1G01620	20802
AT1G01630	665
AT1G01640	158
AT1G01650	728
AT1G01660	2
AT1G01670	4
AT1G01680	13
AT1G01690	52
AT1G01695	3
AT1G01700	2
AT1G01710	557
AT1G01720	3743
AT1G01725	80
AT1G01730	320
AT1G01740	58
AT1G01750	21
AT1G01760	48
AT1G01770	445
AT1G01780	1119
AT1G01790	1474
AT1G01800	545
AT1G01810	10
AT1G01820	802
AT1G01830	426
AT1G01840	9
AT1G01860	106
AT1G01870	0
AT1G01880	25
AT1G01890	0
AT1G01900	294
AT1G01910	542
AT1G01920	164
AT1G01930	281
AT1G01940	218
AT1G01950	474
AT1G01960	1945
AT1G01970	552
AT1G01980	1
AT1G01990	273
AT1G02000	296
AT1G02010	421
AT1G02020	304
AT1G02030	17
AT1G02040	3
AT1G02050	170
AT1G02060	107
AT1G02065	3
AT1G02070	3
AT1G02074	1
AT1G02080	3133
AT1G02090	577
