Geneid	/ufrc/jkim6/share/braskey/data/PRJNA549285/TopHat/alignments/SRR9313227.sam
AT1G01010	321
AT1G01020	269
AT1G01030	26
AT1G01040	1495
AT1G01046	6
AT1G01050	1362
AT1G01060	8219
AT1G01070	118
AT1G01073	0
AT1G01080	1098
AT1G01090	4055
AT1G01100	2588
AT1G01110	134
AT1G01115	0
AT1G01120	8031
AT1G01130	44
AT1G01140	2253
AT1G01150	0
AT1G01160	566
AT1G01170	736
AT1G01180	432
AT1G01183	0
AT1G01190	15
AT1G01200	105
AT1G01210	144
AT1G01220	417
AT1G01225	39
AT1G01230	512
AT1G01240	502
AT1G01250	2
AT1G01260	320
AT1G01270	0
AT1G01280	0
AT1G01290	215
AT1G01300	1655
AT1G01305	0
AT1G01310	3
AT1G01320	12359
AT1G01340	235
AT1G01350	332
AT1G01355	4
AT1G01360	585
AT1G01370	68
AT1G01380	46
AT1G01390	868
AT1G01400	0
AT1G01410	0
AT1G01420	161
AT1G01430	1597
AT1G01440	585
AT1G01448	418
AT1G01450	0
AT1G01453	0
AT1G01460	0
AT1G01470	3140
AT1G01471	0
AT1G01480	80
AT1G01490	1754
AT1G01500	108
AT1G01510	712
AT1G01520	571
AT1G01530	0
AT1G01540	2194
AT1G01550	2517
AT1G01560	37
AT1G01570	25
AT1G01580	53
AT1G01590	0
AT1G01600	651
AT1G01610	1869
AT1G01620	30373
AT1G01630	792
AT1G01640	207
AT1G01650	836
AT1G01660	4
AT1G01670	2
AT1G01680	18
AT1G01690	53
AT1G01695	1
AT1G01700	1
AT1G01710	663
AT1G01720	4519
AT1G01725	101
AT1G01730	409
AT1G01740	72
AT1G01750	29
AT1G01760	54
AT1G01770	479
AT1G01780	1711
AT1G01790	1928
AT1G01800	804
AT1G01810	11
AT1G01820	952
AT1G01830	503
AT1G01840	7
AT1G01860	200
AT1G01870	0
AT1G01880	32
AT1G01890	0
AT1G01900	345
AT1G01910	662
AT1G01920	199
AT1G01930	334
AT1G01940	246
AT1G01950	601
AT1G01960	2096
AT1G01970	631
AT1G01980	0
AT1G01990	308
AT1G02000	311
AT1G02010	508
AT1G02020	380
AT1G02030	22
AT1G02040	6
AT1G02050	159
AT1G02060	171
AT1G02065	2
AT1G02070	5
AT1G02074	0
AT1G02080	3562
AT1G02090	689
AT1G02100	1296
AT1G02110	697
AT1G02120	1609
AT1G02130	1119
AT1G02140	1747
AT1G02145	413
AT1G02150	1894
AT1G02160	234
AT1G02170	657
AT1G02180	140
AT1G02190	11
AT1G02205	6732
AT1G02210	0
AT1G02220	259
AT1G02230	23
AT1G02250	0
AT1G02260	361
AT1G02270	273
AT1G02280	2290
AT1G02290	175
AT1G02300	205
AT1G02305	2154
AT1G02310	24
AT1G02320	0
AT1G02330	369
AT1G02335	409
AT1G02340	569
AT1G02350	2
AT1G02360	386
AT1G02370	36
AT1G02380	18
AT1G02390	38
AT1G02391	0
AT1G02400	494
AT1G02405	10
AT1G02410	458
AT1G02420	71
AT1G02430	13
AT1G02440	1
AT1G02450	0
AT1G02460	59
AT1G02470	28
AT1G02475	475
AT1G02480	0
AT1G02490	0
AT1G02500	9522
AT1G02510	0
AT1G02520	480
AT1G02530	2
AT1G02540	0
AT1G02550	0
AT1G02560	2136
AT1G02570	0
AT1G02575	0
AT1G02580	18
AT1G02590	0
AT1G02600	0
AT1G02610	65
AT1G02620	1
AT1G02630	0
AT1G02640	1230
AT1G02650	23
AT1G02660	569
AT1G02670	39
AT1G02680	198
AT1G02690	236
AT1G02700	43
AT1G02710	0
AT1G02720	229
AT1G02730	400
AT1G02740	120
AT1G02750	272
AT1G02760	0
AT1G02770	28
AT1G02780	7353
AT1G02790	0
AT1G02800	280
AT1G02810	199
AT1G02813	1
AT1G02816	577
AT1G02820	17
AT1G02830	0
AT1G02840	3905
AT1G02850	1921
AT1G02860	555
AT1G02870	131
AT1G02880	534
AT1G02890	2954
AT1G02900	452
AT1G02910	654
AT1G02920	742
AT1G02930	282
AT1G02940	0
AT1G02950	217
AT1G02952	0
AT1G02960	311
AT1G02965	0
AT1G02970	46
AT1G02980	1
AT1G02990	467
AT1G03000	583
AT1G03010	25
AT1G03020	0
AT1G03022	0
AT1G03030	332
AT1G03040	863
AT1G03050	1
AT1G03055	24
AT1G03060	1856
AT1G03070	49
AT1G03080	3177
AT1G03090	2345
AT1G03100	22
AT1G03103	0
AT1G03106	88
AT1G03110	197
AT1G03120	17
AT1G03130	8531
AT1G03140	987
AT1G03150	200
AT1G03160	1105
AT1G03170	42
AT1G03180	55
AT1G03190	280
AT1G03200	63
AT1G03210	268
AT1G03220	7321
AT1G03230	945
AT1G03240	4
AT1G03250	331
AT1G03260	221
AT1G03270	38
AT1G03280	1057
AT1G03290	532
AT1G03300	109
AT1G03310	515
AT1G03320	56
AT1G03330	366
AT1G03340	41
AT1G03350	1141
AT1G03360	45
AT1G03365	408
AT1G03370	808
AT1G03380	1539
AT1G03390	0
AT1G03400	117
AT1G03410	272
AT1G03430	378
AT1G03440	171
AT1G03445	62
AT1G03457	509
AT1G03470	214
AT1G03475	2723
AT1G03490	0
AT1G03495	0
AT1G03502	13
AT1G03506	13
AT1G03510	28
AT1G03515	0
AT1G03520	292
AT1G03530	227
AT1G03540	33
AT1G03545	33
AT1G03550	472
AT1G03560	252
AT1G03570	0
AT1G03590	1148
AT1G03600	5617
AT1G03610	760
AT1G03620	36
AT1G03630	1679
AT1G03640	0
AT1G03650	15
AT1G03660	7
AT1G03670	0
AT1G03680	1530
AT1G03687	239
AT1G03700	3
AT1G03710	1
AT1G03720	0
AT1G03730	139
AT1G03740	659
AT1G03743	0
AT1G03746	2
AT1G03750	128
AT1G03760	89
AT1G03770	162
AT1G03780	135
AT1G03790	721
AT1G03800	15
AT1G03810	0
AT1G03820	33
AT1G03830	126
AT1G03840	42
AT1G03850	509
AT1G03860	588
AT1G03870	16129
AT1G03880	2
AT1G03890	0
AT1G03900	2485
AT1G03905	121
AT1G03910	1237
AT1G03920	220
AT1G03930	904
AT1G03935	38
AT1G03940	1
AT1G03950	162
AT1G03960	226
AT1G03970	166
AT1G03980	5
AT1G03982	0
AT1G03990	4
AT1G04000	538
AT1G04010	218
AT1G04020	132
AT1G04030	165
AT1G04040	3707
AT1G04050	53
AT1G04070	89
AT1G04080	2236
AT1G04090	27
AT1G04100	98
AT1G04110	17
AT1G04120	2447
AT1G04130	182
AT1G04140	2527
AT1G04150	8
AT1G04160	252
AT1G04170	1730
AT1G04171	0
AT1G04180	15
AT1G04190	424
AT1G04200	494
AT1G04210	1296
AT1G04220	2032
AT1G04230	156
AT1G04240	1745
AT1G04250	3574
AT1G04260	297
AT1G04270	3464
AT1G04280	1135
AT1G04290	220
AT1G04295	24
AT1G04300	2648
AT1G04310	201
AT1G04320	0
AT1G04330	6
AT1G04340	233
